head,relation,tail
C1378703,ppi,C0020097
C0007112,ppi,C0009319
C0085166,ppi,C0751774
C0040136,ppi,C0030578
C0042510,ppi,C0020097
C0341503,ppi,C0003469
C0007273,ppi,C1335299
C0004030,ppi,C0020514
C0023487,ppi,C0020097
C0021345,ppi,C0014014
C0236816,ppi,C0020097
C0205645,ppi,C0004030
C0035459,ppi,C0020097
C0016034,ppi,C0014014
C0085166,ppi,C0030578
C3714630,ppi,C0014078
C0035309,ppi,C0080040
C0005750,ppi,C0038362
C0008441,ppi,C0009770
C1527349,ppi,C0751583
C1335299,ppi,C0003949
C0007117,ppi,C0456498
C3714509,ppi,C0020097
C0020295,ppi,C0029422
C0860580,ppi,C4324548
C0238463,ppi,C2237660
C0341503,ppi,C0035112
C0003463,ppi,C0020097
C0279635,ppi,C0041312
C0079744,ppi,C0020097
C0003949,ppi,C0003952
C0040479,ppi,C0948522
C1527336,ppi,C0037274
C0598798,ppi,C0032298
C0007117,ppi,C0153398
C0020097,ppi,C0263316
C0238463,ppi,C0003949
C1569637,ppi,C0027583
C0016053,ppi,C0205645
C0016034,ppi,C0014078
C0030579,ppi,C0014014
C0920350,ppi,C0020097
C0020097,ppi,C0154830
C0153626,ppi,C0029471
C0030305,ppi,C0024225
C0032460,ppi,C0034087
C0496842,ppi,C0155016
C0009319,ppi,C0018939
C3544321,ppi,C0030578
C1510489,ppi,C1260326
C0020413,ppi,C0153398
C0006309,ppi,C0020097
C0012634,ppi,C2937358
C0162739,ppi,C0268542
C0020097,ppi,C0456498
C0028754,ppi,C0221052
C0020097,ppi,C0005461
C0279565,ppi,C0496842
C0019360,ppi,C0040558
C0004114,ppi,C0020097
C0007112,ppi,C3266877
C0021359,ppi,C0037199
C0348374,ppi,C0032051
C0021345,ppi,C0041315
C0029291,ppi,C0042580
C0007117,ppi,C0004030
C0268134,ppi,C0023896
C0868908,ppi,C1260326
C0155015,ppi,C0001857
C0206669,ppi,C4763867
C0007112,ppi,C0162871
C0016034,ppi,C1412016
C0206667,ppi,C0403529
C1879321,ppi,C0020413
C0035244,ppi,C0003614
C3469186,ppi,C1260326
C1879321,ppi,C0153398
C0040136,ppi,C0041333
C0003872,ppi,C0496842
C0037274,ppi,C0010823
C4021818,ppi,C0205698
C3544321,ppi,C5200934
C0035460,ppi,C1384641
C0206526,ppi,C0684743
C0035869,ppi,C0038358
C0003614,ppi,C0005426
C1302401,ppi,C0041333
C0007112,ppi,C0155016
C0392525,ppi,C0342283
C0242994,ppi,C0243025
C0376549,ppi,C0036231
C0079924,ppi,C0024523
C0149654,ppi,C0409959
C0020097,ppi,C0153064
C0005416,ppi,C0020097
C1336052,ppi,C0235833
C0030442,ppi,C0029422
C0152013,ppi,C0020097
C0007570,ppi,C0023241
C0149654,ppi,C0005750
C0008441,ppi,C0238190
C0496842,ppi,C1535939
C0948522,ppi,C0034087
C0004936,ppi,C0032285
C0268542,ppi,C0206706
C0497549,ppi,C0393735
C0014132,ppi,C0496842
C0042510,ppi,C0497549
C0038587,ppi,C0456498
C0003952,ppi,C0040196
C1266042,ppi,C0024117
C1531608,ppi,C0027583
C0008441,ppi,C1260327
C0238196,ppi,C1257809
C0020097,ppi,C0014014
C0020097,ppi,C0027962
C0155015,ppi,C1257809
C0014556,ppi,C0042929
C0341503,ppi,C0152025
C0007120,ppi,C0020097
C0936223,ppi,C0496842
C0020295,ppi,C0020550
C0032460,ppi,C0040136
C0235974,ppi,C0020097
C0341503,ppi,C0405580
C0027873,ppi,C0027962
C0007117,ppi,C0034069
C3544321,ppi,C0041325
C0027932,ppi,C0206611
C0001261,ppi,C0041325
C0020097,ppi,C0267792
C0496842,ppi,C0001857
C3544321,ppi,C3495801
C4324548,ppi,C0017677
C0037274,ppi,C0149782
C0042580,ppi,C3890733
C0153381,ppi,C0149772
C0013395,ppi,C4521004
C0270707,ppi,C0022893
C0341503,ppi,C0020097
C0010481,ppi,C0020097
C0018802,ppi,C0020413
C0520679,ppi,C0014014
C0020550,ppi,C4520981
C0035869,ppi,C0040963
C3469186,ppi,C0020097
C0221290,ppi,C0541407
C0016977,ppi,C0014078
C0018802,ppi,C0009770
C0029445,ppi,C0079924
C1336052,ppi,C0206667
C0030215,ppi,C0026640
C0003949,ppi,C0014014
C4763867,ppi,C0265565
C0020097,ppi,C0041333
C0006413,ppi,C0496842
C0028043,ppi,C0023896
C0496842,ppi,C1335749
C0017661,ppi,C0263312
C0004030,ppi,C0024535
C0003493,ppi,C0035460
C0040136,ppi,C0030583
C0020097,ppi,C0034040
C0007117,ppi,C0023241
C0205698,ppi,C0403529
C3278302,ppi,C0014117
C0040136,ppi,C0496842
C0205645,ppi,C0005779
C0079924,ppi,C0029878
C0016034,ppi,C0037199
C0033804,ppi,C0020097
C0004030,ppi,C0343401
C0000833,ppi,C0020097
C0020097,ppi,C0405580
C0020097,ppi,C0021345
C0035869,ppi,C0030470
C0020413,ppi,C0009770
C0035244,ppi,C0026640
C0040196,ppi,C0236099
C0018802,ppi,C0238190
C0496842,ppi,C0162678
C0013371,ppi,C0006309
C0031099,ppi,C3887499
C0456498,ppi,C2939420
C0496842,ppi,C0004030
C0030470,ppi,C0003614
C0162871,ppi,C0041333
C0162871,ppi,C0153398
C0035869,ppi,C0001261
C4520981,ppi,C1861863
C1879321,ppi,C0006818
C0158570,ppi,C0020097
C0041333,ppi,C5680196
C0006118,ppi,C0038362
C0221290,ppi,C1510489
C0026640,ppi,C4763867
C0020097,ppi,C0206706
C0153398,ppi,C0042075
C0023434,ppi,C2350621
C0206685,ppi,C0017152
C2919755,ppi,C0020097
C0220621,ppi,C0008441
C0024115,ppi,C0034065
C0040136,ppi,C0001261
C3495801,ppi,C0001889
C3887499,ppi,C0041825
C0032285,ppi,C0020097
C0009319,ppi,C0154830
C0004030,ppi,C1260326
C1260326,ppi,C0032298
C0860580,ppi,C0032533
C0009319,ppi,C0456498
C0270850,ppi,C0007528
C0023487,ppi,C0021359
C0040136,ppi,C3544321
C0598798,ppi,C0004030
C0021053,ppi,C0334471
C0153398,ppi,C0242490
C4087468,ppi,C0042900
C1265996,ppi,C4015285
C0948522,ppi,C0154830
C1879321,ppi,C0206180
C0020097,ppi,C0021361
C0456498,ppi,C0035112
C0032371,ppi,C0039584
C0013882,ppi,C0030809
C0039103,ppi,C0024899
C0017661,ppi,C3714630
C0016034,ppi,C0026265
C0341503,ppi,C0346109
C0496842,ppi,C0008677
C0080040,ppi,C0151864
C0476254,ppi,C0020097
C0018021,ppi,C0280324
C0003463,ppi,C0035309
C0004771,ppi,C0014078
C0004610,ppi,C0205698
C0004692,ppi,C0004698
C0040136,ppi,C0948522
C0007117,ppi,C0024622
C0033804,ppi,C0920350
C0021359,ppi,C2237660
C0020097,ppi,C0029291
C5551428,ppi,C1861172
C0238196,ppi,C0154830
C0206634,ppi,C0205698
C0007112,ppi,C0040136
C0003463,ppi,C0269047
C0021390,ppi,C1145628
C0153398,ppi,C0206699
C0020097,ppi,C1260327
C0149782,ppi,C1535939
C0022603,ppi,C0751774
C1535939,ppi,C4521004
C1368404,ppi,C0041333
C1266042,ppi,C0751967
C0496842,ppi,C0020097
C0153398,ppi,C0041315
C1328479,ppi,C0236099
C0027583,ppi,C0270891
C0018802,ppi,C0006309
C0007117,ppi,C2237660
C0042900,ppi,C0848558
C1533217,ppi,C4551681
C0220621,ppi,C0001261
C0014117,ppi,C0282616
C0346109,ppi,C0009766
C0221052,ppi,C0005416
C0029422,ppi,C0000880
C0085166,ppi,C0268542
C0221052,ppi,C0020097
C0003886,ppi,C0007117
C0153398,ppi,C0022893
C0376175,ppi,C0282616
C0206622,ppi,C0030805
C5574948,ppi,C0014078
C0020097,ppi,C0020413
C0002171,ppi,C0018939
C0236642,ppi,C0020097
C0023440,ppi,C0023487
C0341503,ppi,C0149654
C3887499,ppi,C0034882
C0041971,ppi,C0494559
C0041325,ppi,C0041333
C0242994,ppi,C0020097
C0020097,ppi,C0030578
C0032285,ppi,C3495801
C0030215,ppi,C1561643
C0026393,ppi,C0042929
C0038587,ppi,C0014078
C0041315,ppi,C0041333
C0020413,ppi,C1260327
C3495801,ppi,C0497549
C0026552,ppi,C0041466
C0007117,ppi,C0014057
C0917801,ppi,C0020676
C1257809,ppi,C0751774
C0014556,ppi,C0014057
C0029458,ppi,C0041315
C0003952,ppi,C1260326
C0017152,ppi,C1266042
C0341503,ppi,C0024535
C0024302,ppi,C0020097
C0029401,ppi,C0206743
C1384666,ppi,C0020097
C0279635,ppi,C0020097
C3544321,ppi,C0403529
C0010073,ppi,C0029106
C0162871,ppi,C0009770
C0341503,ppi,C0027059
C0206681,ppi,C1260326
C0341503,ppi,C0024523
C0205698,ppi,C0221002
C0035460,ppi,C0243010
C0020413,ppi,C0014057
C1412016,ppi,C0014078
C0496842,ppi,C0023492
C0862312,ppi,C0020097
C0153398,ppi,C0029001
C0006111,ppi,C0035460
C0032584,ppi,C0024523
C0376620,ppi,C0020097
C0007117,ppi,C0236816
C0020097,ppi,C0027030
C0002171,ppi,C0036337
C0001261,ppi,C0041333
C0004352,ppi,C0496842
C0162871,ppi,C0034069
C0042510,ppi,C0456498
C0004936,ppi,C0041325
C0024286,ppi,C0456498
C0006309,ppi,C0265982
C0020097,ppi,C4733095
C0013884,ppi,C0029001
C1527407,ppi,C0041333
C0002894,ppi,C0014014
C2267227,ppi,C0546959
C0001442,ppi,C0001889
C0860580,ppi,C0020413
C0021053,ppi,C0020428
C0341503,ppi,C2136733
C0038362,ppi,C0079218
C0238190,ppi,C0269047
C0005750,ppi,C3714758
C0238190,ppi,C0041315
C0020097,ppi,C1864903
C0010701,ppi,C0014059
C0029002,ppi,C0282550
C0004936,ppi,C0042580
C0017677,ppi,C0029291
C0026393,ppi,C3714758
C0014077,ppi,C0003460
C0004030,ppi,C0282616
C0341503,ppi,C0014078
C0008441,ppi,C0020514
C0030215,ppi,C0030297
C0016978,ppi,C0730285
C0038356,ppi,C0020097
C0002892,ppi,C3887499
C1153706,ppi,C0024534
C0079744,ppi,C0004030
C0009404,ppi,C0162739
C1533217,ppi,C1260326
C1257809,ppi,C0014078
C0020097,ppi,C0282488
C0600139,ppi,C0020097
C5551428,ppi,C0041471
C0027726,ppi,C0020413
C0027583,ppi,C0042940
C0040136,ppi,C1335749
C1265996,ppi,C1335167
C0020097,ppi,C0042580
C1328479,ppi,C0267792
C0010380,ppi,C1260326
C0040028,ppi,C0032285
C0020097,ppi,C0268323
C0020413,ppi,C0020514
C0040136,ppi,C0238196
C0341503,ppi,C0206706
C3544321,ppi,C0038362
C0040558,ppi,C0038362
C0085096,ppi,C0041325
C0206180,ppi,C0020097
C0013182,ppi,C0034882
C0598798,ppi,C0013395
C0948752,ppi,C0341503
C0684743,ppi,C0026916
C1879321,ppi,C0042940
C0016053,ppi,C0854196
C0027654,ppi,C0035460
C0220621,ppi,C0238190
C3544321,ppi,C0268323
C4324548,ppi,C0020097
C0025284,ppi,C0026640
C0020097,ppi,C0032051
C0862312,ppi,C0029291
C3544321,ppi,C0008049
C0001624,ppi,C0006309
C0220621,ppi,C0221290
C0020097,ppi,C0011405
C0016977,ppi,C0020097
C0009319,ppi,C0030805
C0016978,ppi,C0018013
C0020514,ppi,C0029002
C0014014,ppi,C0013415
C0341503,ppi,C0033804
C0936223,ppi,C5554042
C0270707,ppi,C0242490
C2237660,ppi,C0263313
C0032285,ppi,C0085166
C0496842,ppi,C0206752
C0010823,ppi,C0205645
C0205698,ppi,C0030578
C0014556,ppi,C0023283
C0023465,ppi,C5200934
C0021053,ppi,C0020097
C0020514,ppi,C0751964
C0025284,ppi,C0003614
C0155015,ppi,C0005779
C2350621,ppi,C0730285
C0238117,ppi,C0034882
C0206682,ppi,C0040584
C0004030,ppi,C0014078
C0034362,ppi,C0020097
C0023437,ppi,C0020097
C1510489,ppi,C0751774
C0155015,ppi,C0003949
C0235974,ppi,C3544321
C0341503,ppi,C0005716
C1334801,ppi,C3544321
C0206245,ppi,C1335299
C0004692,ppi,C0020097
C0149782,ppi,C0684743
C0206716,ppi,C1861172
C0238117,ppi,C1145628
C0346154,ppi,C4520981
C0029458,ppi,C0003614
C0341503,ppi,C0035460
C0242350,ppi,C3544321
C1510489,ppi,C0206651
C0085166,ppi,C0862312
C0282616,ppi,C1328479
C0149654,ppi,C0014078
C0018799,ppi,C0041325
C0001261,ppi,C0014077
C0005750,ppi,C0020097
C0341503,ppi,C1378703
C0341503,ppi,C0009770
C3649636,ppi,C0020097
C0009319,ppi,C0206706
C0341503,ppi,C0334266
C0155016,ppi,C0014078
C0341503,ppi,C0268323
C1260326,ppi,C0269047
C1527336,ppi,C0243010
C0016034,ppi,C0152221
C0040963,ppi,C0035460
C1956346,ppi,C0006111
C0014117,ppi,C0278650
C0020097,ppi,C0034069
C0002171,ppi,C0494559
C0008441,ppi,C4551504
C0341503,ppi,C0008049
C0282616,ppi,C0020097
C0003493,ppi,C0014078
C0206743,ppi,C5680987
C0006309,ppi,C1876214
C3544321,ppi,C0155015
C1260325,ppi,C0020550
C0028283,ppi,C0020097
C2960452,ppi,C0040558
C0004030,ppi,C0024286
C1412016,ppi,C0037199
C0598798,ppi,C0006181
C0598798,ppi,C0039984
C1879321,ppi,C0162311
C4087468,ppi,C0040196
C0014009,ppi,C0020097
C0206634,ppi,C0040584
C0042900,ppi,C0008350
C0004030,ppi,C0271468
C0553580,ppi,C0008441
C0496842,ppi,C1145628
C3544321,ppi,C0027654
C0040136,ppi,C0154830
C0341503,ppi,C0029291
C0007112,ppi,C0496842
C0018802,ppi,C0020651
C3544321,ppi,C1861329
C1412016,ppi,C0039984
C0018802,ppi,C0001261
C0009319,ppi,C0085166
C0020097,ppi,C0393735
C0041312,ppi,C0494559
C4025822,ppi,C0020097
C0033975,ppi,C0346326
C0006118,ppi,C0020097
C0008441,ppi,C0206667
C0015029,ppi,C0020097
C0022548,ppi,C0948522
C0023465,ppi,C3544321
C0023492,ppi,C0010232
C0002831,ppi,C0027583
C0598798,ppi,C1257809
C0032460,ppi,C0009319
C0278883,ppi,C0270850
C1334801,ppi,C0343401
C0036337,ppi,C0020097
C0039082,ppi,C3544321
C0023492,ppi,C0153626
C1335299,ppi,C1510489
C0007286,ppi,C0020097
C0016053,ppi,C5680987
C0155016,ppi,C0022603
C0017661,ppi,C0041333
C1335749,ppi,C0920350
C3495801,ppi,C0040584
C0003469,ppi,C0041466
C0496842,ppi,C0014057
C0598798,ppi,C3544321
C0155016,ppi,C1328479
C0036337,ppi,C1260326
C0410702,ppi,C0005716
C0270629,ppi,C0456498
C0155015,ppi,C0014077
C1260326,ppi,C0035455
C0014014,ppi,C3714758
C0235833,ppi,C0020097
C1561643,ppi,C0005426
C0206700,ppi,C1335299
C0238183,ppi,C0006285
C1510489,ppi,C0039984
C0012634,ppi,C0032533
C3544321,ppi,C0020413
C0005779,ppi,C1145628
C0700345,ppi,C1403891
C0206681,ppi,C1328479
C3544321,ppi,C0014057
C3544321,ppi,C0027609
C0268419,ppi,C1260326
C0000833,ppi,C3544321
C0027583,ppi,C4479491
C0029445,ppi,C0013182
C0020295,ppi,C0004030
C0003949,ppi,C1260326
C0024225,ppi,C0041325
C0030470,ppi,C0014117
C0238190,ppi,C0751774
C0004030,ppi,C0032298
C0206743,ppi,C0020097
C0085166,ppi,C0205698
C3544321,ppi,C0023241
C0205645,ppi,C0020097
C2919755,ppi,C0039984
C0000880,ppi,C4520981
C0155015,ppi,C0238196
C0155016,ppi,C0205698
C0948480,ppi,C0009450
C0027654,ppi,C0020097
C0014130,ppi,C0341503
C0020097,ppi,C0242490
C0038034,ppi,C1876214
C0037116,ppi,C0029878
C3544321,ppi,C4310630
C1569637,ppi,C0014078
C0013473,ppi,C0020097
C0000833,ppi,C1328479
C0014556,ppi,C0039103
C0018939,ppi,C0206657
C0018621,ppi,C0026393
C0598798,ppi,C0042580
C1707291,ppi,C0029471
C0035204,ppi,C0023437
C1879321,ppi,C0029471
C0020097,ppi,C0040963
C0008497,ppi,C1335749
C0020097,ppi,C0162678
C0021359,ppi,C0027962
C0699791,ppi,C0020097
C0040560,ppi,C0010078
C0598798,ppi,C0205698
C0010078,ppi,C0020097
C0751583,ppi,C1850745
C0020097,ppi,C1851376
C0236816,ppi,C0034362
C0027654,ppi,C0041333
C1334277,ppi,C0496842
C1335299,ppi,C0236099
C0162871,ppi,C0020097
C0221052,ppi,C0035112
C0393665,ppi,C4324548
C0006118,ppi,C0035309
C1527336,ppi,C0035112
C0003463,ppi,C0393665
C0085750,ppi,C0020097
C0040479,ppi,C0796004
C0341503,ppi,C0020502
C0039082,ppi,C0030583
C0020097,ppi,C0041315
C0024225,ppi,C0014078
C1335299,ppi,C0020097
C0032914,ppi,C1260326
C0010823,ppi,C0035460
C0020097,ppi,C0270075
C1569637,ppi,C0152013
C0752347,ppi,C0020550
C0007117,ppi,C0238190
C1334277,ppi,C0206611
C0206700,ppi,C0024523
C0206634,ppi,C0018013
C0008441,ppi,C0341503
C0020097,ppi,C0155365
C0238463,ppi,C0013884
C0040136,ppi,C0022603
C0010823,ppi,C0020097
C3544321,ppi,C0013371
C0456498,ppi,C0263316
C0010631,ppi,C0014059
C1535939,ppi,C0851578
C0020097,ppi,C0023241
C0020097,ppi,C0041325
C0020413,ppi,C0238190
C0393665,ppi,C0042580
C0041466,ppi,C0004030
C2237660,ppi,C0153398
C0039082,ppi,C1257958
C0162871,ppi,C1260326
C0036337,ppi,C0267792
C0334488,ppi,C0004030
C0009319,ppi,C0041466
C0041333,ppi,C0023896
C0016034,ppi,C4479491
C0014077,ppi,C0020097
C0041325,ppi,C0014078
C0007117,ppi,C0014014
C0004030,ppi,C0018190
C0009319,ppi,C0948522
C0080178,ppi,C1861329
C1527349,ppi,C0024225
C0341503,ppi,C0021400
C0018802,ppi,C0265982
C0080178,ppi,C0020097
C0017677,ppi,C0020097
C0006111,ppi,C0041333
C0887900,ppi,C0024534
C0014117,ppi,C0003460
C0080178,ppi,C0456498
C0206180,ppi,C0002892
C0162871,ppi,C0238190
C0020097,ppi,C1112570
C0279543,ppi,C0003460
C0018799,ppi,C0282616
C0149782,ppi,C4520981
C1335299,ppi,C0041325
C0026640,ppi,C0005426
C4551683,ppi,C0005426
C0032064,ppi,C0220754
C0025284,ppi,C0030470
C0006285,ppi,C0006818
C0598798,ppi,C0020097
C0031099,ppi,C2237660
C0004030,ppi,C0751774
C0003469,ppi,C0020097
C1269683,ppi,C0020097
C1266042,ppi,C1260325
C0018802,ppi,C4749333
C0014077,ppi,C0010078
C0011633,ppi,C1328479
C1378703,ppi,C0496842
C0155015,ppi,C0235833
C0149782,ppi,C1257809
C1510489,ppi,C0004030
C0022603,ppi,C1260325
C1864903,ppi,C0009770
C0007112,ppi,C2919755
C0205698,ppi,C0162739
C0007222,ppi,C0205698
C0596170,ppi,C0020097
C0496842,ppi,C0013570
C0017668,ppi,C0038358
C0007117,ppi,C0006285
C0040136,ppi,C0456498
C0020097,ppi,C0032533
C0035869,ppi,C4520981
C0041333,ppi,C1384641
C0153626,ppi,C0037974
C0007528,ppi,C0011606
C0013371,ppi,C0035460
C0085096,ppi,C0020097
C0004030,ppi,C0751965
C0035460,ppi,C0014078
C0018802,ppi,C0015423
C0020097,ppi,C0029471
C0153405,ppi,C0029291
C0033804,ppi,C0155015
C0018802,ppi,C0042580
C0041315,ppi,C0346154
C0020097,ppi,C0221002
C0011311,ppi,C0030578
C0039082,ppi,C0020097
C0042514,ppi,C0496842
C0018802,ppi,C0040479
C0948522,ppi,C0020097
C0022603,ppi,C0035460
C0007120,ppi,C0007642
C0860580,ppi,C0153398
C0598798,ppi,C0005750
C0016034,ppi,C2237660
C0016034,ppi,C4087468
C0013882,ppi,C0014014
C0278650,ppi,C0268134
C0013371,ppi,C0038358
C1706410,ppi,C0037928
C0030805,ppi,C0032298
C0018013,ppi,C0024523
C0001889,ppi,C0024899
C0009324,ppi,C0855073
C0027583,ppi,C0079218
C1535939,ppi,C0022893
C0004114,ppi,C0341503
C0027583,ppi,C5680196
C0020097,ppi,C0024523
C0220621,ppi,C0030805
C0155016,ppi,C0020097
C0236816,ppi,C0019064
C0041325,ppi,C0035460
C0008441,ppi,C0020097
C0042900,ppi,C5680196
C1328479,ppi,C0271468
C0040136,ppi,C0041466
C0001624,ppi,C0026640
C0041333,ppi,C0270075
C0020097,ppi,C0751964
C0040028,ppi,C0020097
C0020097,ppi,C0877121
C0280324,ppi,C0015423
C0008350,ppi,C0020097
C0001261,ppi,C0020097
C0221052,ppi,C0268323
C0008441,ppi,C3887499
C0020676,ppi,C0162534
C1527407,ppi,C0020097
C0038454,ppi,C0038525
C0003493,ppi,C0041325
C0153398,ppi,C0456498
C0019360,ppi,C0020097
C0023487,ppi,C0017677
C0006111,ppi,C0041325
C0206634,ppi,C0341503
C0011615,ppi,C1260326
C0041333,ppi,C0220754
C0014057,ppi,C0023860
C0016034,ppi,C0041466
C0917801,ppi,C1328479
C1510489,ppi,C0035112
C1257809,ppi,C0016053
C0242647,ppi,C3544321
C0085096,ppi,C0014117
C0346109,ppi,C0854196
C0037199,ppi,C4520981
C0496842,ppi,C0032046
C0041325,ppi,C3714758
C0018802,ppi,C0007117
C0024622,ppi,C0041315
C0040136,ppi,C0085166
C0032285,ppi,C0205698
C0205645,ppi,C0456498
C0017668,ppi,C0343401
C0001889,ppi,C0153398
C0020413,ppi,C0021345
C0023283,ppi,C1328479
C0014057,ppi,C0014014
C0014014,ppi,C0243010
C0011615,ppi,C0206651
C0035459,ppi,C0026393
C0341503,ppi,C4021976
C0007117,ppi,C0030578
C1879321,ppi,C0270707
C1412016,ppi,C0020097
C0013295,ppi,C3544321
C0598798,ppi,C1535939
C0009319,ppi,C0205698
C0021400,ppi,C0242490
C0026764,ppi,C0020635
C0032460,ppi,C0751774
C0023788,ppi,C0027121
C0020097,ppi,C0037199
C0004030,ppi,C0854196
C0007117,ppi,C0854196
C0015674,ppi,C0917801
C0003614,ppi,C0020097
C0024530,ppi,C0018190
C0018802,ppi,C0030805
C0376620,ppi,C0030409
C0341503,ppi,C0023290
C0006285,ppi,C0032371
C1412016,ppi,C0026265
C1412016,ppi,C0027962
C0029445,ppi,C0024523
C0206180,ppi,C1328479
C0031099,ppi,C0004030
C0341503,ppi,C0020295
C0085166,ppi,C0020097
C0032460,ppi,C0032533
C1257809,ppi,C0154830
C0029445,ppi,C0020097
C0001816,ppi,C0001889
C0014014,ppi,C0023051
C0149782,ppi,C0030409
C0020097,ppi,C0151864
C0497549,ppi,C0029134
C1260326,ppi,C1260873
C0206700,ppi,C0032460
C4324548,ppi,C0042580
C1328479,ppi,C0042580
C0008441,ppi,C0007117
C0341503,ppi,C0037974
C0041325,ppi,C1384641
C0004030,ppi,C0038358
C0016053,ppi,C0041315
C0030215,ppi,C0030470
C0029001,ppi,C0751774
C0016034,ppi,C0236099
C1335299,ppi,C0004030
C0016034,ppi,C0020097
C0001261,ppi,C0027583
C1527336,ppi,C4721610
C0598798,ppi,C0026272
C1260327,ppi,C0270891
C0003873,ppi,C0341503
C1257877,ppi,C0020097
C0020295,ppi,C0020097
C3714644,ppi,C0023492
C0009319,ppi,C0004030
C0346109,ppi,C0026010
C0085096,ppi,C0342127
C0008350,ppi,C1290855
C0014077,ppi,C0026393
C0341503,ppi,C1384641
C0014556,ppi,C0024534
C0012634,ppi,C0020295
C0598798,ppi,C0020413
C0021359,ppi,C0346154
C3276314,ppi,C1257958
C0007117,ppi,C3714630
C1412016,ppi,C0238117
C0042900,ppi,C0862312
C0009319,ppi,C0269047
C0023798,ppi,C0341503
C0149654,ppi,C0014014
C0020097,ppi,C0040196
C0007930,ppi,C0020097
C3714509,ppi,C3665596
C0015674,ppi,C0877015
C0018802,ppi,C0021400
C0032460,ppi,C0004030
C3544321,ppi,C0270707
C0080040,ppi,C0751965
C0549473,ppi,C0020626
C0949272,ppi,C0002890
C0205698,ppi,C0019159
