head,relation,tail
C0750848,has,C0085393
C0750848,can be used to manage,C0439706
C0750848,inhibits,C0079904
C0750848,promotes,C1334110
C0750848,is part of,C0443077
C0750848,is approved for use in,C0020157
C0750848,is approved for use in,C5787033
C2077031,is a,C0017710
C2077031,was first approved in,C0456592
C2077031,is used to treat,C1272273
C2077031,is used to manage,C5703473
C2077031,is part of,C4521954
C2077031,belongs to,C0282555
C2077031,belongs to,C0282556
C2077031,activates,C1841967
C2077031,inhibits,C0014458
C2077031,is available in,C0440102
C2077031,has a topological polar surface area of,C0961890
C0016299,is a,C0443077
C0016299,has high,C0598631
C0016299,falls under the category of,C0205489
C0016299,has anti inflammatory,C0597237
C0016299,inhibits,C0013604
C0016299,inhibits,C0333565
C0016299,inhibits,C0302122
C0016299,inhibits,C0332975
C0016299,inhibits,C3272630
C0016299,inhibits,C3686827
C0016299,falls under the category of,C4521954
C0016299,falls under the category of,C3653798
C0016299,falls under the category of,C1373012
C0016299,falls under the category of,C0443077
C0016299,is investigated for,C0011615
C0016299,is investigated for,C0011616
C0016299,is used for the treatment of,C0156175
C0016299,is used for the treatment of,C2370838
C0016299,provides,C0498120
C0016299,promotes,C1320404
C0082787,is a,C0443077
C0082787,is primarily used in the treatment of,C0406317
C0082787,is structurally similar to,C0098735
C0082787,leads to changes in,C1517486
C0082787,has a moderate duration of,C0441472
C0098735,is a derivative of,C0082787
C0082787,is part of,C4521954
C0082787,is part of,C1373012
C0082787,is part of,C0205489
C0082787,is part of,C0006174
C0082787,is bound to,C3544310
C0082787,has a risk of,C0747601
C0082787,increases susceptibility to,C3714514
C0413572,is a,C0443077
C0413572,is used to treat,C0581392
C0413572,is used to treat,C0333427
C0413572,inhibits,C0912034
C0912034,prevents the breakdown of,C2326883
C0413572,decreases expression of,C1565830
C0413572,decreases expression of,C2936592
C0413572,reduces the synthesis of,C0033555
C0413572,reduces the synthesis of,C0520496
C0413572,inhibits,C0167954
C0413572,binds to,C3544310
C0413572,binds to,C0857540
C0413572,is classified as part of,C4521954
C0032952,is a,C0017710
C0032952,derived from,C0010137
C0032952,is indicated for,C0700624
C0032952,is indicated for,C0376545
C0032952,is indicated for,C5238864
C0032952,is indicated for,C0014130
C0032952,is indicated for,C1709160
C0032952,promotes,C0021368
C0032952,is part of,C4521954
C0032952,is part of,C3653826
C0032952,is part of,C0474035
C0032952,is part of,C1373012
C0032952,is part of,C0443077
C0032952,is part of,C3653531
C0032952,is approved for,C0240320
C0032952,has a molecular weight of,C1519729
C0032952,has a topological polar surface area of,C0961890
C1266629,is a derivative of,C0015082
C1266629,inhibits,C1181303
C1266629,is used to treat,C0346402
C1266629,causes,C0270611
C1266629,has a half life of,C1442469
C1266629,belongs to the categories,C0458083
C1266629,belongs to the categories,C0678889
C1266629,modifies the metabolism of,C0020268
C1266629,leads to a reduction in,C0373647
C1266629,is approved for use in,C0271725
C0060494,is a type of,C0443077
C0060494,is part of,C4521954
C0060494,is part of,C0205489
C0060494,is used for the treatment of,C0011616
C0060494,is used for the treatment of,C0011615
C0060494,is used for the treatment of,C0439706
C0060494,is used for the treatment of,C0033860
C0060494,is used for the treatment of,C0719874
C0060494,has a molecular weight of,C5761437
C0060494,suppresses,C1305754
C0060494,binds to,C0373730
C0373730,becomes active when,C2041384
C0570192,is a,C1641843
C0570192,is used to replace,C5419158
C0570192,is functionally similar to,C0020268
C0570192,is structurally analogous to,C0032952
C0570192,differs by,C0016330
C0570192,acts on,C2330097
C0570192,increases,C5395526
C0570192,increases,C3897870
C0570192,regulates,C0201995
C0570192,regulates,C1271104
C0570192,is protein bound to,C0201838
C0570192,is protein bound to,C3544310
C0570192,may mask signs of,C0439663
C0570192,is approved for,C0186196
C0570192,is approved for,C0271739
C0570192,is approved for the treatment of,C1411310
C0020268,is also known as,C0020268
C0020268,is produced by,C1181303
C0020268,was named,C0020268
C0020268,is used to treat,C0021053
C0020268,is used to treat,C1709160
C0020268,has a therapeutic index of,C0332464
C0020268,has a duration of action that is,C4321335
C0020268,is part of,C4521954
C0020268,is approved for use in,C0348080
C0020268,is used in,C0991541
C0020268,is used in,C3653473
C0020268,is bound to,C3544310
C0020268,is bound to,C0857540
C0020268,is,C0729762
C0020268,is moderately soluble in,C0523744
C0020268,is used in,C0993609
C3272466,is a type of,C0443077
C3272466,is used to treat,C0037274
C3272466,works by binding to,C1841967
C3272466,interacts with,C1135650
C3272466,increases the expression of,C5236345
C3272466,leads to,C1371569
C3272466,leads to,C1512646
C3272466,is effective due to its,C1516026
C3272466,is effective due to its,C0042397
C3272466,can be combined with,C0183739
C3272466,has a logp value of,C5781226
C3272466,is part of,C4521954
C3272466,is part of,C1373012
C3272466,is part of,C0205489
C0722742,is a type of,C0744425
C0722742,is similar to,C0020268
C0722742,has effects including,C0003392
C0722742,is part of,C4521954
C0722742,is approved for,C0086418
C0722742,is approved for,C0042615
C0722742,has a molecular weight of,C0593817
C0722742,has a logp value of,C0445363
C0722742,can lead to changes in,C1517486
C0722742,is part of,C0280274
C0722742,is part of,C0812430
C0722742,is part of,C0474035
C0722742,is part of,C3653531
C0722742,is part of,C3653798
C0722742,is part of,C3653826
C0140594,is,C0029083
C0140594,is used to treat,C0030332
C0140594,has clinical indications for,C1444625
C0140594,has clinical indications for,C4518712
C0140594,leads to,C1710463
C0140594,involves,C0103404
C0140594,involves,C0033555
C0140594,has a molecular weight of,C0450360
C0140594,is part of,C4521954
C0140594,is part of,C1373012
C0140594,is part of,C3653708
C0140594,is used to treat,C0339164
C0140594,is used to treat,C4703414
C0140594,may interact with,C0376218
C0140594,may interact with,C0025382
C0140594,may interact with,C0032952
C0140594,is contraindicated in,C0301925
C0140594,is contraindicated in,C0033011
C0140594,is contraindicated in,C0008059
C0055895,was first described in,C0456588
C0055895,has demonstrated,C3653671
C0055895,is used to treat,C3875321
C0055895,promotes,C0021368
C0055895,is part of,C4521954
C0055895,is part of,C0443077
C0055895,has a topological polar surface area of,C0961890
C0016299,is a,C0017712
C0016299,is used in the treatment of,C0439706
C0016299,binds to,C1841967
C0016299,stimulates,C1705331
C1705331,binds to,C2326883
C0016299,acts as a physiological antagonist to,C0885447
C0016299,decreases,C1512226
C0016299,promotes,C4552270
C0016299,increases,C0427743
C0016299,is part of,C4521954
C0016299,is part of,C0282555
C0016299,is part of,C1373012
C0016299,is part of,C0443077
C0016299,is part of,C3653505
C0016299,is part of,C0304608
C0016299,has a,C0289863
C0016299,is,C1706842
C0016299,is,C4688482
C2077029,is a,C0744425
C2077029,is used to treat,C1272273
C2077029,is used to treat,C0865800
C2077029,is used to treat,C0156147
C2077029,is used to treat,C2919828
C2077029,is indicated for,C0941061
C2077029,is indicated for,C0558984
C2077029,is indicated for,C0740304
C2077029,is generally bound to,C3544310
C2077029,is generally bound to,C0857540
C2077029,is part of,C4521954
C2077029,is part of,C0740851
C2077029,is part of,C3653826
C2077029,is part of,C0282556
C2077029,is part of,C0474035
C2077029,is part of,C3653531
C2077029,is part of,C0161598
C2077029,is part of,C0591201
C2077029,is part of,C1412070
C2077029,is a,C0597486
C2077029,is bound in plasma by,C0108187
C0070073,is a type of,C0744425
C0070073,has properties of,C0443077
C0070073,is used in the treatment of,C0149783
C0070073,is less suitable than,C0020268
C0070073,is combined with,C0570192
C0070073,limits,C0425683
C0070073,restricts accumulation of,C0027950
C0070073,restricts accumulation of,C1267793
C0070073,reduces release of,C0022714
C0070073,inhibits,C0302158
C0070073,interferes with,C0243042
C0070073,suppresses,C0003314
C0070073,involves,C1152581
C0070073,involves,C0103404
C1135650,cause,C1332838
C0070073,suppresses expression of,C0879590
C0879590,is also known as,C0879590
C0070073,belongs to the category of,C4521954
C0070073,belongs to the category of,C3653708
C0070073,has an approval status of,C0678323
C0907850,is a,C0744425
C0907850,is used to treat,C0024117
C0907850,treats,C0339812
C0907850,inhibits,C0302158
C0907850,interferes with,C0243042
C0907850,suppresses,C0003314
C0907850,limits,C0425683
C0907850,restricts,C0027950
C0907850,is a,C1373003
C0907850,binds to,C0600508
C0907850,interacts with,C1135650
C0907850,belongs to,C4521954
C0907850,belongs to,C0443077
C0907850,belongs to,C0282555
C0907850,belongs to,C3653498
C0907850,is a substrate for,C0057223
C0907850,is a substrate for,C0051169
C5555516,is,C2986495
C5555516,discovered using,C0205195
C5555516,consists of,C0722742
C5555516,consists of,C0202319
C5555516,is being investigated for,C4751299
C5555516,is effective for,C2960678
C5555516,is effective for,C0002893
C0722742,is a,C0260264
C0722742,can inhibit,C0302158
C0202319,acts by decreasing,C0599702
C5555516,enhances,C0032950
C5555516,is,C0418624
C5555516,is in,C4684592
C5555516,aims to selectively amplify,C0032950
C5555516,aims to selectively amplify,C0032950
C5555516,requires,C0683934
C0066700,is used for,C3251055
C0066700,is used for,C0339812
C0066700,works through,C3537153
C0066700,binds to,C1841967
C0066700,inhibits activation of,C0167954
C0066700,inhibits,C0014458
C0066700,is  99  protein bound in,C0229671
C0066700,has a half life of,C1442770
C0066700,is an inhibitor of,C0051169
C0066700,was first approved in,C0521923
C0066700,decreases production of,C0021368
C0066700,is available as,C0021461
C0066700,is available as,C1273001
C0066700,interacts with,C0059563
C0066700,is a treatment option for,C0004096
C0066700,is a treatment option for,C1334103
C0025145,is also known as,C0013340
C0025145,is a,C0033306
C0025145,is derived from,C0065865
C0025145,was approved in,C0006823
C0025145,is currently,C0205544
C0025145,suppresses,C0301819
C0025145,leads to,C5784295
C0025145,presents structural similarities to,C0523912
C0025145,competes for,C1367578
C1367578,are in,C0033572
C1154522,occurs in,C5849707
C0025145,leads to,C0304497
C0025145,has pharmacokinetics dependent on,C0033618
C0025145,was proven to have,C0893455
C0025145,has a similar duration effect to,C0202075
C0025145,does not present any,C0235461
C0025145,does not present any,C0720298
C0025145,does not change,C5548523
C0025145,has a logp value of,C5670749
C0025145,belongs to the categories of,C4521954
C0025145,belongs to the categories of,C0006174
C0025145,belongs to the categories of,C1508753
C0025145,belongs to the categories of,C5400708
C0025145,belongs to the categories of,C3653386
C0025145,belongs to the categories of,C3653386
C0025145,belongs to the categories of,C4708554
C0025145,belongs to the categories of,C0893455
C0025145,belongs to the categories of,C0546792
C0082607,is used for,C3251055
C0082607,is used for,C1171179
C0082607,affects,C0007634
C0082607,inhibits,C0014458
C0082607,has a half life of,C0001560
C0082607,has a half life of,C1442770
C0082607,belongs to,C4521954
C0082607,belongs to,C0282555
C0082607,belongs to,C0282556
C0082607,belongs to,C0161598
C0082607,belongs to,C0591201
C0082607,belongs to,C1373012
C0082607,belongs to,C0443077
C0082607,belongs to,C0205489
C0082607,was first approved in,C0456592
C0082607,was approved again in,C0521923
C0076181,is a,C0744425
C0076181,is used to treat,C1334156
C0076181,treats,C0271739
C0076181,treats,C0156147
C0076181,treats,C0003873
C0076181,treats,C0024131
C0076181,treats,C0581126
C0076181,treats,C2919828
C0076181,treats,C0001617
C0076181,binds to,C1841967
C0076181,is classified as,C0020343
C0076181,is classified as,C0443077
C0076181,has a topological polar surface area of,C0470251
C0076181,is approved for,C0199168
C0076181,is used in,C1512026
C0063079,is a,C4050091
C0063079,used to treat,C0033774
C0063079,used to treat,C0271739
C0063079,used to treat,C0003873
C0063079,used to treat,C0024131
C0063079,used to treat,C0581126
C0063079,used to treat,C2919828
C0063079,used to treat,C0156147
C0063079,binds to,C1841967
C1841967,translocates to,C0521447
C0521447,binds to,C5236345
C0063079,induces expression of,C1521840
C0063079,suppresses,C0749224
C0063079,has a tpsa of,C0470251
C0063079,is part of,C4521954
C0063079,is part of,C0443077
C0063079,is an inducer of,C0051169
C0063079,approved for use in,C0020157
C0063079,approved for use in,C5787033
C0071842,is a type of,C0744425
C0071842,has effects including,C0003392
C0071842,is used in the treatment of,C0700624
C0071842,is used in the treatment of,C1709160
C0071842,is used in the treatment of,C0027765
C0071842,is used in the treatment of,C0035242
C0071842,is part of,C4521954
C0071842,is part of,C0443077
C0071842,is approved for,C0042615
C2698382,is a,C0033262
C2698382,agonizes,C1841967
C2698382,provides,C0003209
C2698382,is indicated to treat,C0700624
C2698382,is indicated to treat,C1709160
C2698382,is indicated to treat,C0035242
C2698382,is indicated to treat,C3825575
C2698382,is indicated to treat,C0275908
C2698382,is used in the treatment of,C0410092
C2698382,is used in the treatment of,C0002893
C2698382,is a soluble ester prodrug of,C0750848
C0443077,mediate changes in,C1517486
C2698382,is part of,C4521954
C2698382,is part of,C0443077
C2698382,is indicated in the treatment of,C0263504
C2698382,is indicated in the treatment of,C0022548
C2698382,is indicated in the treatment of,C5679638
C2698382,is indicated in the treatment of,C0027822
C2698382,is indicated in the treatment of,C2231179
C2698382,is indicated in the treatment of,C0406317
C2698382,is indicated in the treatment of,C0333410
C0770564,is a type of,C0443077
C0770564,is part of,C4521954
C0770564,is part of,C0443077
C0770564,has a short term effect of,C0232342
C0770564,has a short term effect of,C0232378
C0770564,has a short term effect of,C1371595
C0770564,is veterinary approved,C0205540
C0770564,has a wide therapeutic window,C2698783
C0770564,is a solid,C1709520
C0770564,is used in,C5423068
C0035930,is,C2020030
C0035930,is indicated for,C1699633
C1268555,is extracted by,C0925111
C1268555,participates in,C0001479
C0443168,is noted within,C2825530
C1268555,is part of,C2917424
C1268555,is part of,C2757000
C1268555,is indicated for,C0162514
C0042839,is a group of,C3661727
C0042839,is derived from,C0449416
C0042839,is enriched in,C5240700
C0042839,is enriched in,C3687582
C0042839,is structurally related to,C0040845
C0042839,is bound to,C3702065
C0042839,plays vital roles in,C0042789
C0042839,plays vital roles in,C1707934
C0042839,plays vital roles in,C2911660
C0042839,plays vital roles in,C0442692
C0042839,plays vital roles in,C3893707
C0042839,is part of,C0001552
C0042839,is part of,C0205470
C0042839,is part of,C3653826
C0042839,is part of,C0002068
C0042839,is part of,C3653731
C0042839,is part of,C1518480
C0042839,is part of,C4076258
C0281420,has molecular formula,C1540219
C0281420,is a type of,C4076258
C0281420,is a precursor to,C0042839
C0281420,has antioxidant properties,C0205238
C0281420,is found in,C2348898
C0281420,does not affect concentrations in,C2330097
C0281420,ameliorates,C0311404
C0281420,decreases,C4329354
C0281420,is a precursor to,C0040845
C0281420,has a half life of,C1442469
C0281420,acts as an,C1148564
C0281420,scavenges,C0162772
C0281420,presents oxidative modification of,C0023823
C0281420,chelates,C1517312
C0281420,inhibits,C0178796
C0281420,is retained by,C1325761
C0281420,is part of drug categories,C3653826
C0281420,is part of drug categories,C0002068
C0281420,is part of drug categories,C4076258
C0281420,is part of drug categories,C1266463
C0281420,is part of drug categories,C0056763
C0281420,is part of drug categories,C0010578
C0281420,is part of drug categories,C0205489
C0281420,is part of drug categories,C2945766
C0281420,is part of drug categories,C3653752
C0281420,is part of drug categories,C0016452
C0281420,is part of drug categories,C0005329
C0281420,is part of drug categories,C1812630
C0281420,is part of drug categories,C0020242
C0042874,is a term used to describe,C3255108
C0042874,acts as,C1148564
C1848533,can occur in conditions such as,C1527396
C1848533,can occur in conditions such as,C0008370
C1848533,can occur in conditions such as,C3829821
C0042874,is believed to protect cells against,C0016693
C5779643,have been linked to an increased incidence of,C0009375
C0042874,has a molecular weight of,C0470616
C0042874,has a topological polar surface area of,C2331826
C0042874,is part of,C1518480
C0042874,is part of,C0028911
C0042874,is part of,C0596577
C0042874,is part of,C1709739
C0042874,is approved for use as,C0308714
C0060197,is a,C0205208
C0060197,belongs to the class of,C0202216
C0202216,are derived from,C0042839
C0060197,has potential applications in,C0920425
C0060197,induces,C1326205
C0060197,interacts with,C1514760
C0060197,interacts with,C0014440
C0060197,leads to changes in,C1517486
C0060197,is being investigated for,C0278296
C0677764,is,C0035339
C0677764,has properties of,C3273128
C0677764,is used for,C1514509
C0677764,is used for,C1511293
C0677764,accumulates in,C0444070
C0677764,inhibits,C1155893
C0677764,induces,C4329354
C0677764,is different from,C0042839
C0677764,is different from,C0079589
C0677764,has been investigated for,C2216378
C0677764,shows potential as,C0920425
C0677764,is a candidate for,C0278925
C0379900,is implicated in,C4060542
C1424232,is implicated in,C4060542
C0012203,is,C1514972
C0012203,is used in the treatment of,C0025319
C0012203,has been listed as,C0597340
C0012203,interacts with,C0059672
C0059672,is found in,C3272919
C3272919,include,C0700038
C3272919,include,C1521747
C3272919,are found in,C1268164
C1295140,causes,C0878635
C1295140,causes,C0241400
C1295140,suppresses,C0016424
C3653565,suppresses,C0020662
C0020662,decreases secretion of,C4520794
C0012203,is available in,C0597486
C0012203,has a topological polar surface area of,C2331826
C0012203,is part of,C4521954
C0012203,is part of,C1874309
C0012203,is part of,C5787261
C0012203,is part of,C0005036
C0012203,is part of,C1412070
C0012203,is linked to,C0686277
C0546882,is a,C0041017
C0546882,is produced by,C1278878
C0546882,was developed by,C0592874
C0546882,was approved in,C0456587
C0546882,replaces,C0279175
C0546882,exerts effects by,C1158770
C0546882,exerts effects by,C0599100
C0546882,increases,C4552848
C0546882,stimulates,C2911660
C0546882,is used to treat,C3665349
C0546882,is used to treat,C3165526
C0546882,is used to treat,C1399772
C0546882,is used to treat,C0549473
C0546882,is more potent than,C1881373
C0546882,has a half life of,C3843197
C1881373,is a,C1881373
C1881373,is used to treat,C3665349
C1413366,is produced by,C0032002
C0202231,is released from,C1420709
C0202231,is bound to,C3814864
C0202231,is bound to,C0077021
C0202231,is bound to,C0201838
C1881373,is approved,C0205238
C1881373,is indicated for,C1337013
C0700583,is a type of,C0746950
C0700583,inhibits,C0033551
C0700583,inhibits,C0387583
C0700583,approved in,C3829447
C0700583,is marketed by,C1310652
C0700583,was previously marketed by,C0331935
C0700583,is used to treat,C0391976
C0700583,is indicated for,C0029408
C0700583,is indicated for,C0002893
C0700583,is indicated for,C0038012
C0700583,results in reduced production of,C0031619
C0700583,is used in combination with,C0004057
C0700583,prevents,C4075887
C0700583,has an apparent half life of,C1292429
C1266500,is a type of,C0003211
C1266500,has pharmacologic actions similar to,C0003211
C1266500,possesses,C0003209
C1266500,possesses,C0002766
C1266500,is used to relieve,C0391976
C1266500,is used in the treatment of,C0002893
C1266500,is used in the treatment of,C0029408
C1266500,is part of,C0948482
C1266500,is part of,C3536840
C1266500,is part of,C3653542
C1266500,can cause,C2697368
C1266500,can cause,C4552889
C1266500,can cause,C0520906
C1266500,can cause,C1290807
C1266500,can cause,C0393735
C1266500,can cause,C4084788
C1266500,can cause,C5396356
C1266500,is important for managing,C0234251
C0012403,is also known as,C0175520
C0175520,is used as,C0037638
C0175520,is used for,C0683174
C0175520,protects,C1511549
C0175520,provides,C4273565
C0175520,is used in,C0268070
C0175520,may have,C0003209
C0175520,penetrates,C0025255
C0175520,is useful for,C4552405
C0175520,is used in,C5205018
C0175520,has a logp value of,C0142710
C0175520,is part of,C5707737
C0175520,includes,C1518480
C0175520,includes,C4529223
C0304846,is,C1512497
C0304846,consists of,C0079691
C0304846,consists of,C0936106
C0079691,is also known as,C0202231
C0936106,is also known as,C0041017
C0745714,is sufficient for,C2210848
C0304846,alters,C0599100
C0304846,alters,C3547582
C0279175,are essential for,C0815089
C0304846,is approved for use in,C0600086
C0304846,is approved for use in,C4763985
C0304846,is used in conjunction with,C3653894
C0304846,is used to treat,C0238460
C0304846,is used for,C1998045
C0304846,works by,C0181813
C0304846,works by,C1519616
C0304846,works by,C1371294
C0304846,works by,C0852765
C0061203,is derived from,C1697820
C0061203,is an,C0815051
C0061203,has shown promise as,C2986475
C0061203,inhibits,C0206364
C0061203,inhibits,C1150387
C0061203,leads to,C1517348
C0061203,is being studied in,C2983596
C0061203,is a treatment for,C0376358
C0061203,involves blocking,C0014442
C0061203,has been classified under,C5787261
C0061203,has been classified under,C0596577
C0061203,has been classified under,C0005078
C0061203,needs further research to understand,C0598333
C0076289,is a type of,C0201874
C0076289,is used as,C0304718
C0076289,is used as,C0231491
C0076289,regulates,C0279175
C0076289,has potential to treat,C3665349
C0076289,has potential to treat,C2939155
C0076289,has potential to treat,C0549473
C0279175,play a role in,C0311400
C0279175,play a role in,C2911660
C0279175,play a role in,C0458003
C0076289,requires,C1517331
C0076289,is in,C1517586
C1322288,attached to,C0444379
C5238122,is a,C0013223
C5238122,has properties of,C0002766
C5238122,has properties of,C0877252
C5238122,is used in,C0026859
C5238122,is used in,C0022408
C5238122,can be administered,C0226896
C5238122,can be administered,C0332237
C5238122,has a tpsa of,C0303628
C5238122,has a logp value of,C0142710
C5238122,is part of,C1121424
C5238122,is part of,C0718476
C5238122,is part of,C1703206
C5238122,is part of,C0035856
C5238122,is part of,C1516019
C5238122,is part of,C1516027
C5238122,is part of,C0005036
C5238122,is part of,C0005058
C5238122,is part of,C0428601
C5238122,is part of,C0242695
C5238122,is part of,C3536840
C5238122,is approved for,C1285339
C5238122,is used in the management of,C0015967
C5238122,inhibits,C1565830
C0445467,produces,C0033555
C5238122,reduces,C0391976
C5238122,is commonly used to treat,C0029408
C5238122,is commonly used to treat,C0002893
C5238122,is commonly used to treat,C1171175
C0917817,is involved in,C1327440
C0073096,is a,C1130460
C0073096,has potential therapeutic applications for,C1274315
C0073096,is a derivative of,C0301153
C0073096,is produced in,C0032098
C0073096,is produced with the help of,C1324752
C0073096,exists as,C2984906
C0073096,exhibits,C0332269
C0073096,inhibits,C0206679
C0073096,has potential,C0003392
C0073096,binds strongly to,C0033684
C0073096,has high affinity for,C1145667
C0073096,is part of,C0948482
C0073096,is part of,C0026879
C0073096,is part of,C0031860
C0073096,is investigational,C0205238
C0253007,is a,C0304229
C0253007,belongs to,C0005036
C0253007,interferes with,C2752512
C0253007,has anticancer properties against,C1512505
C0282364,is,C0302909
C0282364,is a synthetic analogue of,C0202231
C0282364,is investigated for the treatment of,C3665349
C0085741,binds to,C0919499
C0085741,increases,C0311400
C0085741,improves,C0678859
C0085741,enhances,C2237115
C0085741,is a candidate for the treatment of,C4324720
C0085741,is still in,C1517586
C0085741,needs further research to characterize,C1709520
C0085741,needs further research to characterize,C2698783
C0085741,needs further research to characterize,C1269689
C0920321,are,C0870494
C0085741,may offer,C2242640
C2097621,plays a role in,C4060542
C0059672,mediates,C0570252
C1161334,is,C0949266
C1161334,is a solid in,C0031809
C1161334,has not received,C3899556
C1161334,is under investigation for,C1515409
C1161334,is a type of,C2316833
C1161334,has properties similar to,C0373486
C1161334,is thought to act on,C3823127
C0242974,enhances the activity of,C0220780
C1334905,is,C1517586
C1334905,is a,C0041017
C1334905,designed to treat,C4316995
C1334905,involves the conversion of,C0040165
C1334905,binds to,C0919499
C0919499,are located in,C0010834
C0919499,are located in,C0521447
C1334905,is currently,C4688482
C0047226,is,C0304229
C0047226,has physical state,C0597486
C0047226,acts on,C0282151
C0047226,increases,C0178601
C0047226,is investigated as treatment for,C0947810
C0047226,is investigated as treatment for,C0393593
C0047226,has implications for treating,C0036341
C0047226,has anti inflammatory properties,C0205238
C0047226,is useful for treating,C0338475
C0047226,is useful for treating,C0002893
C0047226,inhibits production of,C0079189
C2745274,is,C0949266
C2745274,has potential applications in,C1879848
C2745274,has antimicrobial properties against,C1265292
C2745274,has antimicrobial properties against,C2368066
C2745274,may treat,C0002395
C2745274,may treat,C0947810
C2745274,may treat,C0003873
C2745274,may be administered,C0226896
C2745274,may be administered,C0332237
C2745274,may be administered,C0348016
C0066072,is,C0304229
C0066072,has,C0596260
C0066072,interacts with,C1450477
C0066072,acts on,C1521840
C0066072,modulates,C1517486
C0066072,may treat,C0006826
C0066072,needs further research for,C1709520
C0066072,needs further research for,C2698783
C0066072,needs further research for,C1269689
C0054312,is,C0949266
C0054312,is being researched for,C0031330
C0054312,is being studied for,C2347650
C0054312,can be formulated into,C0991533
C0054312,has shown promise in,C1709630
C0054312,may have a role in,C0338237
C0054312,requires,C0878723
C0054312,requires,C2983596
C0077019,is,C0949266
C0077019,has approval status,C0458003
C0077019,interacts with,C1450477
C0077019,has potential in treating,C0006826
C0077019,inhibits,C0597357
C0077019,leads to,C1371475
C0077019,is thought to involve,C0596788
C0077019,is under,C0549178
C0630784,is,C0949266
C0630784,is in,C0458003
C0630784,exhibits activity against,C0334227
C0630784,is involved in,C0376545
C0630784,inhibits,C1333893
C1333893,leads to,C0544912
C0544912,affect,C1517486
C0630784,shows promise for,C4727226
