# Entity	CUI_Code	Source
1 in 25 000 births	C4891898_enty	NOT_FOUND
1 in 250 000 births	C2728404_enty	NOT_FOUND
1 in 250 000 individuals	C8432925_enty	NOT_FOUND
1 in 250 000 individuals worldwide	C4560560_enty	NOT_FOUND
1 in 30 000 to 50 000 individuals	C2286656_enty	NOT_FOUND
1 in 333 300 live births	C9185540_enty	NOT_FOUND
1 in 5 000 live births	C2876686_enty	NOT_FOUND
1 in 50 000 births	C7096732_enty	NOT_FOUND
1 in 50 000 individuals	C7213543_enty	NOT_FOUND
1 in 50 000 individuals worldwide	C4484682_enty	NOT_FOUND
1 in 50 000 live births	C6883856_enty	NOT_FOUND
1 in 50 000 to 1 in 100 000 births	C1699591_enty	NOT_FOUND
1 in 50 000 to 1 in 100 000 individuals worldwide	C5076132_enty	NOT_FOUND
1 in 50 000 to 1 in 100 000 live births	C6019737_enty	NOT_FOUND
1 in 50 000 to 1 in 20 000 live births	C5169766_enty	NOT_FOUND
1 in 500 000 individuals	C1859991_enty	NOT_FOUND
1 in 500 000 individuals worldwide	C1791905_enty	NOT_FOUND
1 in 65 000 births	C7688172_enty	NOT_FOUND
1 in 70 000 to 100 000 live births	C9246681_enty	NOT_FOUND
1 in every 10 000 individuals	C4064491_enty	NOT_FOUND
1 in every 10 000 live births	C3397643_enty	NOT_FOUND
1 in every 10 000 to 50 000 individuals	C6865467_enty	NOT_FOUND
1 in every 100 000 births	C5014500_enty	NOT_FOUND
1 in every 100 000 individuals	C9119348_enty	NOT_FOUND
1 in every 100 000 live births	C7535534_enty	NOT_FOUND
1 in every 2 000 live births	C5124399_enty	NOT_FOUND
1 in every 2 500 individuals worldwide	C3835373_enty	NOT_FOUND
1 in every 20 000 live births	C1987223_enty	NOT_FOUND
1 in every 20 000 to 50 000 individuals	C3694079_enty	NOT_FOUND
1 in every 30 000 to 50 000 live births	C3722698_enty	NOT_FOUND
1 in every 5 000 births	C8851606_enty	NOT_FOUND
1 in every 5 000 live births	C7687572_enty	NOT_FOUND
1 in every 50 000 live births	C4575584_enty	NOT_FOUND
1 in every 500 individuals	C1303955_enty	NOT_FOUND
1 in every 700 births	C4545366_enty	NOT_FOUND
1 million individuals	C4733381_elmt	NOT_FOUND
1 per 10 000 live births	C9387962_enty	NOT_FOUND
1 per 100 000 live births	C0300400_enty	NOT_FOUND
1 per million individuals	C0697981_elmt	NOT_FOUND
1 to 2 5 hours	C1558453_enty	NOT_FOUND
1 to 2 hours	C4003406_enty	NOT_FOUND
10 20	C6144983_enty	NOT_FOUND
10 6 hours	C4534135_enty	NOT_FOUND
100 000 individuals worldwide	C5227781_enty	NOT_FOUND
100 reported cases	C8793644_enzy	NOT_FOUND
13 18 hours	C3108136_enty	NOT_FOUND
13 hours	C8890257_enty	NOT_FOUND
14 15 hours	C5758271_enty	NOT_FOUND
15 20  of patients receiving long term amiodarone therapy	C8788232_enty	NOT_FOUND
150 reported cases	C3618228_enzy	NOT_FOUND
16 24 hours	C4376803_enty	NOT_FOUND
16 34 hours	C4559090_enty	NOT_FOUND
19 individuals from nine families	C5301182_enty	NOT_FOUND
1997	C6907100_enty	NOT_FOUND
2 2 4 7 hours	C8009147_enty	NOT_FOUND
2 2 5 hours	C9810388_enty	NOT_FOUND
2 3 5 hours	C5448005_enty	NOT_FOUND
2 3 6 hours	C7503325_enty	NOT_FOUND
2 3 hours	C5298783_enty	NOT_FOUND
2 4   3 8 hours	C6588725_enty	NOT_FOUND
2 4 3 6 hours	C3143718_enty	NOT_FOUND
2 4 hours	C9469206_enty	NOT_FOUND
2 5 3 hours	C8709913_enty	NOT_FOUND
2 5 hours	C4889346_enty	NOT_FOUND
2 55	C4615743_enty	NOT_FOUND
2 57	C4271212_enty	NOT_FOUND
2 6 hours	C9880839_enty	NOT_FOUND
2 7 to 5 5 hours	C2058388_enty	NOT_FOUND
2 76	C7958926_enty	NOT_FOUND
2 8 hours	C7171947_enty	NOT_FOUND
2 hours	C7059824_enty	NOT_FOUND
2 to 5 5 hours	C8626584_enty	NOT_FOUND
2 to 5 hours	C9394793_enty	NOT_FOUND
20  of patients	C7828568_enty	NOT_FOUND
20 30  of patients	C9014365_enty	NOT_FOUND
20 individuals worldwide	C1416291_enty	NOT_FOUND
20 reported cases	C6735661_enzy	NOT_FOUND
200 reported cases	C1082095_enzy	NOT_FOUND
25  of patients	C1649594_enty	NOT_FOUND
268 36	C6538961_enty	NOT_FOUND
3 0   4 5 hours	C0096366_enty	NOT_FOUND
3 1 3 4 hours	C3037900_enty	NOT_FOUND
3 2 hours	C0665959_enty	NOT_FOUND
3 4   1 2 hours	C1133245_enty	NOT_FOUND
3 4 hours	C3166891_enty	NOT_FOUND
3 5 5 hours	C7662691_enty	NOT_FOUND
3 5 hours	C6136653_enty	NOT_FOUND
3 6 hours	C0248535_enty	NOT_FOUND
3 7 7 4 hours	C5345125_enty	NOT_FOUND
3 7 hours	C3732564_enty	NOT_FOUND
3 hours	C5951130_enty	NOT_FOUND
3 to 5 hours	C1808691_enty	NOT_FOUND
30  of patients	C1738341_enty	NOT_FOUND
30 60  of patients	C2756086_enty	NOT_FOUND
30 hours	C3915679_enty	NOT_FOUND
30 reported cases	C8481509_enzy	NOT_FOUND
30 to 60  of patients	C9935964_enty	NOT_FOUND
33 50 hours	C3892033_enty	NOT_FOUND
4 2 8 5 hours	C1501093_enty	NOT_FOUND
4 38	C0778573_enty	NOT_FOUND
4 5 hours	C8872073_enty	NOT_FOUND
4 6 hours	C1400539_enty	NOT_FOUND
4 76	C0849745_enty	NOT_FOUND
4 hours	C2216352_enty	NOT_FOUND
40  of patients	C6663093_enty	NOT_FOUND
40 000 newborns each year	C7452944_enty	NOT_FOUND
40 60 hours	C4871954_enty	NOT_FOUND
450 reported cases	C0593968_enzy	NOT_FOUND
454 61	C5051898_enty	NOT_FOUND
46 61	C6825702_enty	NOT_FOUND
5  3 carbamoylbenzyl  5 6 7 8 9 10 hexahydrocycloheptaindole 4 carboxylic acid	C7803277_orch	NOT_FOUND
5 10 hours	C6161913_enty	NOT_FOUND
5 14 hours	C9525402_enty	NOT_FOUND
5 5h	C7114049_enty	NOT_FOUND
5 6 14 8h	C1408682_enty	NOT_FOUND
5 6 5 hours	C8211545_enty	NOT_FOUND
5 6 hours	C1741585_enty	NOT_FOUND
5 7 hours	C1767523_enty	NOT_FOUND
5 8 8 7 hours	C9212485_enty	NOT_FOUND
5 8 hours	C4004192_enty	NOT_FOUND
5 hours	C4089176_enty	NOT_FOUND
5 ht	C5159596_enty	NOT_FOUND
5 ht1a serotonergic receptors	C9230108_aapp	NOT_FOUND
5 ht1b	C7334049_enty	NOT_FOUND
5 ht2a	C3153174_enty	NOT_FOUND
5 ht2a receptor	C3817748_aapp	NOT_FOUND
5 ht2a serotonergic receptors	C0815408_aapp	NOT_FOUND
5 ht2a serotonin receptors	C1668784_aapp	NOT_FOUND
5 times as potent as methyltestosterone	C8622847_enty	NOT_FOUND
5 to 7 hours	C5352147_enty	NOT_FOUND
50  of patients	C1258400_enty	NOT_FOUND
50 8	C0707642_enty	NOT_FOUND
50 hours	C8093379_enty	NOT_FOUND
50 reported cases	C2716687_enzy	NOT_FOUND
6 03 hours	C1411142_enty	NOT_FOUND
6 10 hours	C5075126_enty	NOT_FOUND
6 12 hours	C9436980_enty	NOT_FOUND
6 17  dimethyl 6 dehydroprogesterone	C1820198_enty	NOT_FOUND
6 2 hours	C4986889_enty	NOT_FOUND
6 4	C5882793_enty	NOT_FOUND
6 7 hours	C7223034_enty	NOT_FOUND
6 8 hours	C2852301_enty	NOT_FOUND
6 9 hours	C8155370_enty	NOT_FOUND
6 to 8 hours	C8088930_enty	NOT_FOUND
60  of patients	C5130699_enty	NOT_FOUND
7 10 hours	C4351916_enty	NOT_FOUND
7 11 hours	C6051425_enty	NOT_FOUND
7 2 hours	C7858313_enty	NOT_FOUND
7 5 hours	C1621858_enty	NOT_FOUND
7 8 hours	C1036114_enty	NOT_FOUND
7 hours	C3226181_enty	NOT_FOUND
70  of patients	C3435275_enty	NOT_FOUND
70 reported cases	C0805471_enzy	NOT_FOUND
75 07	C5425433_enty	NOT_FOUND
8 10 hours	C1295630_enty	NOT_FOUND
8 12 hours	C7794939_enty	NOT_FOUND
8 2 hours	C8698795_enty	NOT_FOUND
8 4 19 3 hours	C9869126_enty	NOT_FOUND
8 5 hours	C0967838_enty	NOT_FOUND
8 8 hours following oral administration	C5802678_elmt	NOT_FOUND
8 hours	C1589144_enty	NOT_FOUND
80  of cases	C5869018_enzy	NOT_FOUND
80  of patients	C4905422_enty	NOT_FOUND
85 95  of cases presenting as intense abdominal pain	C1185328_enzy	NOT_FOUND
9 2 hours	C5302798_enty	NOT_FOUND
9 5 hours	C4704489_enty	NOT_FOUND
90  of patients	C0056948_enty	NOT_FOUND
94  99  protein bound	C4161138_aapp	NOT_FOUND
a genetic mutation	C2180292_elmt	NOT_FOUND
a healthcare provider	C0728944_enty	NOT_FOUND
a protein involved in skin and hair development	C9396088_aapp	NOT_FOUND
a rare disorder	C0913510_dsyn	NOT_FOUND
a seizure	C5590462_enty	NOT_FOUND
abdominal pain	C0733423_enty	NOT_FOUND
abnormal brain development in utero	C1807966_enty	NOT_FOUND
abnormal renal function indices	C9103354_elmt	NOT_FOUND
abnormal response to sensory stimuli	C6331766_enty	NOT_FOUND
abnormal skull shape	C8994930_enty	NOT_FOUND
abnormalities	C6547615_enty	NOT_FOUND
abnormalities in striatal structure and function	C2536909_elmt	NOT_FOUND
about 20  of patients	C1220019_enty	NOT_FOUND
about 30  of patients	C1424488_enty	NOT_FOUND
about 8 hours	C3398678_enty	NOT_FOUND
absence	C5688740_enty	NOT_FOUND
absence deformity of one leg	C1677289_enty	NOT_FOUND
absence of hair	C3622141_enty	NOT_FOUND
absence or severe reduction of limbs	C9589507_elmt	NOT_FOUND
absent	C0546169_enty	NOT_FOUND
accumulation of glycine in body fluids	C7204091_elmt	NOT_FOUND
accumulation of toxic levels of lysine	C4450652_elmt	NOT_FOUND
acids	C9965667_orch	NOT_FOUND
acral anomalies	C8287769_enty	NOT_FOUND
acrofacial dysostosis	C6669952_enty	NOT_FOUND
acrokeratosis verruciformis	C3227094_enty	NOT_FOUND
active duodenal ulcers	C6035657_enty	NOT_FOUND
activity of cytochrome p 450	C2994820_enty	NOT_FOUND
addressing cardiac and auditory manifestations	C5384362_elmt	NOT_FOUND
addressing underlying anxiety	C7807722_enty	NOT_FOUND
addressing underlying condition	C8907512_elmt	NOT_FOUND
addressing underlying medical conditions	C0991668_elmt	NOT_FOUND
adenine phosphoribosyltransferase deficiency	C7843269_enzy	NOT_FOUND
adolescence	C0585641_enty	NOT_FOUND
adolescents	C6035870_enty	NOT_FOUND
adrenal cortex hormones	C6384911_enty	NOT_FOUND
adrenergic agonists	C2923318_enty	NOT_FOUND
adrenergic alpha 1 receptor agonists	C6576054_aapp	NOT_FOUND
adrenergic alpha 1 receptor antagonists	C0778009_aapp	NOT_FOUND
adrenergic alpha 2 receptor agonists	C2920382_aapp	NOT_FOUND
adrenergic alpha antagonists	C3792574_enty	NOT_FOUND
adrenergic antagonists	C3427977_enty	NOT_FOUND
adrenergic beta 1 receptor agonists	C8643010_aapp	NOT_FOUND
adrenergic beta 1 receptor antagonists	C0501054_aapp	NOT_FOUND
adrenergic beta 2 receptor agonists	C3613499_aapp	NOT_FOUND
adrenergic beta 3 receptor agonists	C5855527_aapp	NOT_FOUND
adrenergic beta agonists	C2149416_enty	NOT_FOUND
adrenergic beta antagonists	C6881279_enty	NOT_FOUND
adrenergic receptors	C0645872_aapp	NOT_FOUND
adult onset distal myopathy	C4672155_enty	NOT_FOUND
adult patients	C8681384_enty	NOT_FOUND
adulthood	C5415955_enty	NOT_FOUND
adults	C4781557_enty	NOT_FOUND
advanced cases	C3142050_enzy	NOT_FOUND
adverse effect profile	C1193366_enty	NOT_FOUND
affected individual	C8437876_enty	NOT_FOUND
affected individuals	C4866195_enty	NOT_FOUND
agat deficiency	C0733183_dsyn	NOT_FOUND
age	C1479506_enty	NOT_FOUND
age 5 7	C4555049_enty	NOT_FOUND
aggregation and deposition of amyloid fibrils	C9832209_elmt	NOT_FOUND
aicardi gouti res syndrome	C5205428_dsyn	NOT_FOUND
airway responsiveness to methacholine	C5351779_enty	NOT_FOUND
al amyloidosis	C4965339_enty	NOT_FOUND
alacrima	C3332663_enty	NOT_FOUND
albumin	C4842502_enty	NOT_FOUND
alendronic acid	C6750975_orch	NOT_FOUND
alimentary tract and metabolism	C3987130_biof	NOT_FOUND
alkaline earth	C2417738_enty	NOT_FOUND
all trans retinol	C6268870_enty	NOT_FOUND
alleviate symptoms	C3060703_enty	NOT_FOUND
allogeneic hematopoietic stem cell transplantation	C5348254_elmt	NOT_FOUND
allogenic hematopoietic stem cell transplantation	C1943013_elmt	NOT_FOUND
allogenic stem cell transplantation	C3107363_elmt	NOT_FOUND
almond shaped palpebral fissures	C5038315_enty	NOT_FOUND
almost complete absence of secondary ossification centers	C4764400_elmt	NOT_FOUND
alpha 1 acid glycoprotein	C5448167_aapp	NOT_FOUND
alpha 1 acid glycoprotein 1	C8131228_aapp	NOT_FOUND
alpha 1 adrenergic receptors	C2216018_aapp	NOT_FOUND
alpha adrenergic receptors	C7097779_aapp	NOT_FOUND
alpha and beta adrenergic receptors	C6836757_aapp	NOT_FOUND
alpha1 adrenergic receptors	C2846411_aapp	NOT_FOUND
alveolar soft part sarcoma	C1645631_enty	NOT_FOUND
amides drug category	C0727976_enty	NOT_FOUND
amine	C1192592_enty	NOT_FOUND
amines	C2003735_enty	NOT_FOUND
amino acids	C8004118_orch	NOT_FOUND
amino alcohols	C7583545_enty	NOT_FOUND
amyotrophic neuralgia	C3736908_enty	NOT_FOUND
an ophthalmologist	C3091975_enty	NOT_FOUND
anabolic agent	C5708755_enty	NOT_FOUND
anabolic agents	C6954699_enty	NOT_FOUND
analgesia	C7119821_enty	NOT_FOUND
analgesics	C2400011_enty	NOT_FOUND
androgen receptor protein receptor sites	C7283921_aapp	NOT_FOUND
androstan derivatives	C7496250_enty	NOT_FOUND
anemia	C7971269_enty	NOT_FOUND
angiogenesis inhibitors	C5421224_enty	NOT_FOUND
ankyloblepharon ectodermal defects cleft lip palate syndrome	C7667748_dsyn	NOT_FOUND
anomalies	C2248770_enty	NOT_FOUND
anonychia oonychodystrophy	C1717078_enty	NOT_FOUND
anophthalmia	C8496603_enty	NOT_FOUND
antagonism of adrenergic receptors	C8766266_aapp	NOT_FOUND
antagonist	C9348519_enty	NOT_FOUND
anti bacterial agents	C4652080_enty	NOT_FOUND
anti epileptic drug	C2292469_enty	NOT_FOUND
anti infective agents	C8140139_enty	NOT_FOUND
anti inflammatory	C6926738_enty	NOT_FOUND
anti inflammatory agents	C5217774_enty	NOT_FOUND
anti inflammatory medications	C3259472_elmt	NOT_FOUND
antibacterials for systemic use	C7565715_enty	NOT_FOUND
antibiotic	C5976088_enty	NOT_FOUND
antibiotics	C0917397_enty	NOT_FOUND
antibiotics for secondary infections	C1768858_elmt	NOT_FOUND
anticholinergics	C3973412_enty	NOT_FOUND
anticoagulant effects of warfarin	C2671531_enty	NOT_FOUND
anticonvulsant medications	C4929295_elmt	NOT_FOUND
anticonvulsant properties	C5318830_enty	NOT_FOUND
anticonvulsants	C2852208_enty	NOT_FOUND
antidepressant effects	C3803190_enty	NOT_FOUND
antiepileptic drugs	C6819626_enty	NOT_FOUND
antiinfectives for systemic use	C4759302_enty	NOT_FOUND
antineoplastic agent	C2320870_enty	NOT_FOUND
antineoplastic agents	C2385454_enty	NOT_FOUND
antineoplastic and immunomodulating agents	C5450538_enty	NOT_FOUND
antineoplastic compound	C7767552_orch	NOT_FOUND
antirheumatic	C2819877_enty	NOT_FOUND
antirheumatic drugs	C7257729_enty	NOT_FOUND
anxiety	C1967228_enty	NOT_FOUND
any age	C9378034_enty	NOT_FOUND
apo b	C1686136_enty	NOT_FOUND
apoprotein c iii	C7567783_aapp	NOT_FOUND
approved	C6342640_enty	NOT_FOUND
approximately 1 5 hours	C7373311_enty	NOT_FOUND
approximately 1 hour	C6308782_enty	NOT_FOUND
approximately 1 in 100 000 births	C6338342_enty	NOT_FOUND
approximately 10  of cases	C8350461_enzy	NOT_FOUND
approximately 100 patients	C1708484_enty	NOT_FOUND
approximately 11 15 hours	C1845457_enty	NOT_FOUND
approximately 11 8    5 1  hours	C9251171_enty	NOT_FOUND
approximately 2 hours	C3174539_enty	NOT_FOUND
approximately 2 hours in rats	C7334017_enty	NOT_FOUND
approximately 20  of patients	C7972154_enty	NOT_FOUND
approximately 3 hours	C0494855_enty	NOT_FOUND
approximately 30  of cases	C8004539_enzy	NOT_FOUND
approximately 30  of patients	C5044562_enty	NOT_FOUND
approximately 4 hours	C5661442_enty	NOT_FOUND
approximately 43 cases reported	C0222200_enzy	NOT_FOUND
approximately 5  of cases	C4495432_enzy	NOT_FOUND
approximately 5 hours	C4620758_enty	NOT_FOUND
approximately 50 cases	C0356051_enzy	NOT_FOUND
approximately 6 hours	C7122101_enty	NOT_FOUND
approximately 60  of patients	C6225341_enty	NOT_FOUND
approximately 7 4 hours	C5555673_enty	NOT_FOUND
approximately 7 hours	C8368452_enty	NOT_FOUND
approximately 80  of cases	C6253682_enzy	NOT_FOUND
approximately 80 documented cases	C0007772_enzy	NOT_FOUND
approximately 90  of cases	C2428367_enzy	NOT_FOUND
approximately 95  of cases	C0437244_enzy	NOT_FOUND
arachidonic acid	C8376278_orch	NOT_FOUND
aranidipine	C0291100_enty	NOT_FOUND
aripiprazole lauroxil	C8647547_enty	NOT_FOUND
around 2 hours	C0974582_enty	NOT_FOUND
around 4 hours	C0857945_enty	NOT_FOUND
arterial thrombosis	C8512251_enty	NOT_FOUND
arthritis	C4404112_enty	NOT_FOUND
artinolol	C4765858_enty	NOT_FOUND
asd	C5916822_enty	NOT_FOUND
asian	C4764400_enty	NOT_FOUND
assessing polydactyly	C6405980_enty	NOT_FOUND
assistive devices	C2866300_medd	NOT_FOUND
asthma	C0389923_enty	NOT_FOUND
asymptomatic	C0409236_enty	NOT_FOUND
asymptomatic carriers	C1848437_enty	NOT_FOUND
ataxia	C3150022_enty	NOT_FOUND
ataxia due to copper accumulation	C9158489_elmt	NOT_FOUND
ataxia hypogonadism choroidal dystrophy syndrome	C4316592_dsyn	NOT_FOUND
ataxia telangiectasia	C4802272_enty	NOT_FOUND
athetosis	C5905340_enty	NOT_FOUND
atii	C0774168_enty	NOT_FOUND
atorvastatin	C1502790_enty	NOT_FOUND
atresia or stenosis of the external auditory canal	C8460622_enty	NOT_FOUND
atrophy	C3700832_enty	NOT_FOUND
atypical rett syndrome	C5568901_dsyn	NOT_FOUND
auranofin as an antirheumatic agent	C7566615_enty	NOT_FOUND
autistic spectrum disorder	C9422156_dsyn	NOT_FOUND
autoimmune disease	C1948954_enzy	NOT_FOUND
autoimmune diseases	C4889199_enzy	NOT_FOUND
autoimmune disorders	C4747842_dsyn	NOT_FOUND
autoimmune features	C8665870_enty	NOT_FOUND
autosomal dominant	C8914826_enty	NOT_FOUND
autosomal dominant condition	C5611965_elmt	NOT_FOUND
autosomal dominant disorder	C5111471_dsyn	NOT_FOUND
autosomal dominant inheritance pattern	C2263761_enty	NOT_FOUND
autosomal dominant inherited disorder	C8077306_dsyn	NOT_FOUND
autosomal dominant pattern	C6961293_enty	NOT_FOUND
autosomal dominant pattern of inheritance	C2004038_enty	NOT_FOUND
autosomal dominantly	C8438901_enty	NOT_FOUND
autosomal recessive	C3376410_enty	NOT_FOUND
autosomal recessive condition	C5100308_elmt	NOT_FOUND
autosomal recessive disorder	C6249039_dsyn	NOT_FOUND
autosomal recessive inheritance pattern	C5686287_enty	NOT_FOUND
autosomal recessive inherited disorder	C8230556_dsyn	NOT_FOUND
autosomal recessive pattern	C3690275_enty	NOT_FOUND
autosomal recessive trait	C7588029_enty	NOT_FOUND
autosomal recessive types	C3996531_enty	NOT_FOUND
avoiding secondhand smoke	C2283231_enty	NOT_FOUND
avoiding triggers	C0540422_enty	NOT_FOUND
b cells	C6758911_cell	NOT_FOUND
bacteria	C6128154_enty	NOT_FOUND
bacterial cell	C9564444_cell	NOT_FOUND
bacterial growth	C7138654_enty	NOT_FOUND
bacterial infections	C2512785_elmt	NOT_FOUND
bacterial skin infections	C6316986_elmt	NOT_FOUND
base of the skull	C0577646_enzy	NOT_FOUND
basis for future rational pharmacological treatment	C4697687_elmt	NOT_FOUND
bathing suit ichthyosis	C0143921_enty	NOT_FOUND
bcrp abcg2 inhibitors	C8219360_enty	NOT_FOUND
bcrp abcg2 substrates	C8222363_enty	NOT_FOUND
beckwith wiedemann syndrome	C8080587_dsyn	NOT_FOUND
being female	C7921805_enty	NOT_FOUND
benign	C8313158_enty	NOT_FOUND
benign neoplasm	C0920606_enty	NOT_FOUND
benzodiazepine receptors	C0175089_aapp	NOT_FOUND
benzodiazepines	C4277804_enty	NOT_FOUND
benzothiazepine derivative	C9621781_enty	NOT_FOUND
beta 1 adrenergic receptors	C7023369_aapp	NOT_FOUND
beta 2 adrenergic receptors	C0097548_aapp	NOT_FOUND
beta 3 adrenergic receptor agonist	C0208029_aapp	NOT_FOUND
beta adrenergic receptors	C6179131_aapp	NOT_FOUND
beta carotene	C8811191_enty	NOT_FOUND
betamethasone phosphate	C4245799_enty	NOT_FOUND
better quality of life	C6398699_enty	NOT_FOUND
bfpp	C1624164_enty	NOT_FOUND
bietti crystalline corneoretinal dystrophy	C2214010_enty	NOT_FOUND
bilateral	C3878108_enty	NOT_FOUND
bilateral adrenalectomy	C3312092_enty	NOT_FOUND
bilateral and progressive	C1877910_enty	NOT_FOUND
bilateral anophthalmia	C6150007_enty	NOT_FOUND
bilateral choanal atresia	C9970028_enty	NOT_FOUND
bilateral vision loss	C7248723_elmt	NOT_FOUND
biliary malformation with renal tubular insufficiency	C8133696_elmt	NOT_FOUND
birth	C1846252_enty	NOT_FOUND
bismuth subgallate	C6293566_enty	NOT_FOUND
bizarre calcified overgrowth	C1602280_enty	NOT_FOUND
black individuals	C3985183_enty	NOT_FOUND
bleeding	C8200166_enty	NOT_FOUND
blepharophimosis intellectual disability syndrome	C8007712_dsyn	NOT_FOUND
blindness	C9999721_enty	NOT_FOUND
blomstrand lethal chondrodysplasia	C0958174_enty	NOT_FOUND
blood pressure	C5084377_enty	NOT_FOUND
blood transfusions	C0145388_elmt	NOT_FOUND
bone	C3538433_enty	NOT_FOUND
bone marrow disorders	C9404294_dsyn	NOT_FOUND
bone problems	C1894340_enty	NOT_FOUND
bone sarcomas	C1785103_enty	NOT_FOUND
bones become weak and brittle	C6304418_enty	NOT_FOUND
both men and women equally	C7469440_enty	NOT_FOUND
bowel obstruction	C8320038_elmt	NOT_FOUND
brachydactyly	C1442482_enty	NOT_FOUND
breast cancer	C2145735_dsyn	NOT_FOUND
breast tenderness	C6971002_enty	NOT_FOUND
broader syndrome	C0343099_dsyn	NOT_FOUND
bronchitis	C3628731_enty	NOT_FOUND
bronchodilation	C2774136_elmt	NOT_FOUND
bronchodilators	C2368413_enty	NOT_FOUND
