head,relation_new,tail,relation_raw
C0750848,MoA_ModulationOther,C1334110,promotes
C0750848,Taxonomy_PartOf,C0443077,is part of
C0750848,Regulatory_Status,C0020157,is approved for use in
C0750848,Regulatory_Status,C5787033,is approved for use in
C2077031,Taxonomy_IsA,C0017710,is a
C2077031,Regulatory_Status,C0456592,was first approved in
C2077031,Treatment_IndicationUse,C1272273,is used to treat
C2077031,Treatment_IndicationUse,C5703473,is used to manage
C2077031,Taxonomy_PartOf,C4521954,is part of
C2077031,Taxonomy_MemberOf,C0282555,belongs to
C2077031,Taxonomy_MemberOf,C0282556,belongs to
C2077031,MoA_ActivationInduction,C1841967,activates
C2077031,MoA_InhibitionBlockade,C0014458,inhibits
C2077031,Etiology_AssociatedWith,C0440102,is available in
C2077031,Etiology_AssociatedWith,C0961890,has a topological polar surface area of
C0016299,Taxonomy_IsA,C0443077,is a
C0016299,Etiology_AssociatedWith,C0598631,has high
C0016299,Taxonomy_MemberOf,C0205489,falls under the category of
C0016299,Etiology_AssociatedWith,C0597237,has anti inflammatory
C0016299,MoA_InhibitionBlockade,C0013604,inhibits
C0016299,MoA_InhibitionBlockade,C0333565,inhibits
C0016299,MoA_InhibitionBlockade,C0302122,inhibits
C0016299,MoA_InhibitionBlockade,C0332975,inhibits
C0016299,MoA_InhibitionBlockade,C3272630,inhibits
C0016299,MoA_InhibitionBlockade,C3686827,inhibits
C0016299,Taxonomy_MemberOf,C4521954,falls under the category of
C0016299,Taxonomy_MemberOf,C3653798,falls under the category of
C0016299,Taxonomy_MemberOf,C1373012,falls under the category of
C0016299,Taxonomy_MemberOf,C0443077,falls under the category of
C0016299,Etiology_AssociatedWith,C0011615,is investigated for
C0016299,Etiology_AssociatedWith,C0011616,is investigated for
C0016299,Treatment_IndicationUse,C0156175,is used for the treatment of
C0016299,Treatment_IndicationUse,C2370838,is used for the treatment of
C0016299,Etiology_AssociatedWith,C0498120,provides
C0016299,MoA_ModulationOther,C1320404,promotes
C0082787,Taxonomy_IsA,C0443077,is a
C0082787,Treatment_IndicationUse,C0406317,is primarily used in the treatment of
C0082787,Taxonomy_VariantOf,C0098735,is structurally similar to
C0082787,Etiology_AssociatedWith,C1517486,leads to changes in
C0082787,Temporal_DurationResolution,C0441472,has a moderate duration of
C0098735,Taxonomy_IsA,C0082787,is a derivative of
C0082787,Taxonomy_PartOf,C4521954,is part of
C0082787,Taxonomy_PartOf,C1373012,is part of
C0082787,Taxonomy_PartOf,C0205489,is part of
C0082787,Taxonomy_PartOf,C0006174,is part of
C0082787,Etiology_AssociatedWith,C3544310,is bound to
C0082787,Etiology_AssociatedWith,C0747601,has a risk of
C0082787,MoA_ModulationOther,C3714514,increases susceptibility to
C0413572,Taxonomy_IsA,C0443077,is a
C0413572,Treatment_IndicationUse,C0581392,is used to treat
C0413572,Treatment_IndicationUse,C0333427,is used to treat
C0413572,MoA_InhibitionBlockade,C0912034,inhibits
C0912034,Prevention_Prophylaxis,C2326883,prevents the breakdown of
C0413572,MoA_ModulationOther,C1565830,decreases expression of
C0413572,MoA_ModulationOther,C2936592,decreases expression of
C0413572,MoA_ModulationOther,C0033555,reduces the synthesis of
C0413572,MoA_ModulationOther,C0520496,reduces the synthesis of
C0413572,MoA_InhibitionBlockade,C0167954,inhibits
C0413572,MoA_BindingAffinity,C3544310,binds to
C0413572,MoA_BindingAffinity,C0857540,binds to
C0413572,Taxonomy_IsA,C4521954,is classified as part of
C0032952,Taxonomy_IsA,C0017710,is a
C0032952,Taxonomy_DerivedFrom,C0010137,derived from
C0032952,Treatment_IndicationUse,C0700624,is indicated for
C0032952,Treatment_IndicationUse,C0376545,is indicated for
C0032952,Treatment_IndicationUse,C5238864,is indicated for
C0032952,Treatment_IndicationUse,C0014130,is indicated for
C0032952,Treatment_IndicationUse,C1709160,is indicated for
C0032952,MoA_ModulationOther,C0021368,promotes
C0032952,Taxonomy_PartOf,C4521954,is part of
C0032952,Taxonomy_PartOf,C3653826,is part of
C0032952,Taxonomy_PartOf,C0474035,is part of
C0032952,Taxonomy_PartOf,C1373012,is part of
C0032952,Taxonomy_PartOf,C0443077,is part of
C0032952,Taxonomy_PartOf,C3653531,is part of
C0032952,Regulatory_Status,C0240320,is approved for
C0032952,Etiology_AssociatedWith,C1519729,has a molecular weight of
C0032952,Etiology_AssociatedWith,C0961890,has a topological polar surface area of
C1266629,Taxonomy_IsA,C0015082,is a derivative of
C1266629,MoA_InhibitionBlockade,C1181303,inhibits
C1266629,Treatment_IndicationUse,C0346402,is used to treat
C1266629,Etiology_AssociatedWith,C0270611,causes
C1266629,PK_DistributionProteinBinding,C1442469,has a half life of
C1266629,Taxonomy_MemberOf,C0458083,belongs to the categories
C1266629,Taxonomy_MemberOf,C0678889,belongs to the categories
C1266629,Etiology_AssociatedWith,C0020268,modifies the metabolism of
C1266629,Etiology_AssociatedWith,C0373647,leads to a reduction in
C1266629,Regulatory_Status,C0271725,is approved for use in
C0060494,Taxonomy_IsA,C0443077,is a type of
C0060494,Taxonomy_PartOf,C4521954,is part of
C0060494,Taxonomy_PartOf,C0205489,is part of
C0060494,Treatment_IndicationUse,C0011616,is used for the treatment of
C0060494,Treatment_IndicationUse,C0011615,is used for the treatment of
C0060494,Treatment_IndicationUse,C0439706,is used for the treatment of
C0060494,Treatment_IndicationUse,C0033860,is used for the treatment of
C0060494,Treatment_IndicationUse,C0719874,is used for the treatment of
C0060494,Etiology_AssociatedWith,C5761437,has a molecular weight of
C0060494,MoA_InhibitionBlockade,C1305754,suppresses
C0060494,MoA_BindingAffinity,C0373730,binds to
C0373730,Etiology_AssociatedWith,C2041384,becomes active when
C0570192,Taxonomy_IsA,C1641843,is a
C0570192,Treatment_IndicationUse,C5419158,is used to replace
C0570192,Etiology_AssociatedWith,C0020268,is functionally similar to
C0570192,Etiology_AssociatedWith,C0032952,is structurally analogous to
C0570192,Etiology_AssociatedWith,C0016330,differs by
C0570192,Etiology_AssociatedWith,C2330097,acts on
C0570192,MoA_ModulationOther,C5395526,increases
C0570192,MoA_ModulationOther,C3897870,increases
C0570192,Etiology_AssociatedWith,C0201995,regulates
C0570192,Etiology_AssociatedWith,C1271104,regulates
C0570192,PK_DistributionProteinBinding,C0201838,is protein bound to
C0570192,PK_DistributionProteinBinding,C3544310,is protein bound to
C0570192,Clinical_SymptomSign,C0439663,may mask signs of
C0570192,Regulatory_Status,C0186196,is approved for
C0570192,Regulatory_Status,C0271739,is approved for
C0570192,Regulatory_Status,C1411310,is approved for the treatment of
C0020268,Alias_Name,C0020268,is also known as
C0020268,Taxonomy_ProductOf,C1181303,is produced by
C0020268,Etiology_AssociatedWith,C0020268,was named
C0020268,Treatment_IndicationUse,C0021053,is used to treat
C0020268,Treatment_IndicationUse,C1709160,is used to treat
C0020268,Etiology_AssociatedWith,C0332464,has a therapeutic index of
C0020268,Temporal_DurationResolution,C4321335,has a duration of action that is
C0020268,Taxonomy_PartOf,C4521954,is part of
C0020268,Regulatory_Status,C0348080,is approved for use in
C0020268,Etiology_AssociatedWith,C0991541,is used in
C0020268,Etiology_AssociatedWith,C3653473,is used in
C0020268,Etiology_AssociatedWith,C3544310,is bound to
C0020268,Etiology_AssociatedWith,C0857540,is bound to
C0020268,Etiology_AssociatedWith,C0729762,is
C0020268,Etiology_AssociatedWith,C0523744,is moderately soluble in
C0020268,Etiology_AssociatedWith,C0993609,is used in
C3272466,Taxonomy_IsA,C0443077,is a type of
C3272466,Treatment_IndicationUse,C0037274,is used to treat
C3272466,MoA_BindingAffinity,C1841967,works by binding to
C3272466,DrugInteraction,C1135650,interacts with
C3272466,MoA_ActivationInduction,C5236345,increases the expression of
C3272466,Etiology_AssociatedWith,C1371569,leads to
C3272466,Etiology_AssociatedWith,C1512646,leads to
C3272466,Etiology_CausedBy,C1516026,is effective due to its
C3272466,Etiology_CausedBy,C0042397,is effective due to its
C3272466,DrugInteraction,C0183739,can be combined with
C3272466,Etiology_AssociatedWith,C5781226,has a logp value of
C3272466,Taxonomy_PartOf,C4521954,is part of
C3272466,Taxonomy_PartOf,C1373012,is part of
C3272466,Taxonomy_PartOf,C0205489,is part of
C0722742,Taxonomy_IsA,C0744425,is a type of
C0722742,Etiology_AssociatedWith,C0020268,is similar to
C0722742,Etiology_AssociatedWith,C0003392,has effects including
C0722742,Taxonomy_PartOf,C4521954,is part of
C0722742,Regulatory_Status,C0086418,is approved for
C0722742,Regulatory_Status,C0042615,is approved for
C0722742,Etiology_AssociatedWith,C0593817,has a molecular weight of
C0722742,Etiology_AssociatedWith,C0445363,has a logp value of
C0722742,Etiology_AssociatedWith,C1517486,can lead to changes in
C0722742,Taxonomy_PartOf,C0280274,is part of
C0722742,Taxonomy_PartOf,C0812430,is part of
C0722742,Taxonomy_PartOf,C0474035,is part of
C0722742,Taxonomy_PartOf,C3653531,is part of
C0722742,Taxonomy_PartOf,C3653798,is part of
C0722742,Taxonomy_PartOf,C3653826,is part of
C0140594,Etiology_AssociatedWith,C0029083,is
C0140594,Treatment_IndicationUse,C0030332,is used to treat
C0140594,Treatment_IndicationUse,C1444625,has clinical indications for
C0140594,Treatment_IndicationUse,C4518712,has clinical indications for
C0140594,Etiology_AssociatedWith,C1710463,leads to
C0140594,Etiology_AssociatedWith,C0103404,involves
C0140594,Etiology_AssociatedWith,C0033555,involves
C0140594,Etiology_AssociatedWith,C0450360,has a molecular weight of
C0140594,Taxonomy_PartOf,C4521954,is part of
C0140594,Taxonomy_PartOf,C1373012,is part of
C0140594,Taxonomy_PartOf,C3653708,is part of
C0140594,Treatment_IndicationUse,C0339164,is used to treat
C0140594,Treatment_IndicationUse,C4703414,is used to treat
C0140594,DrugInteraction,C0376218,may interact with
C0140594,DrugInteraction,C0025382,may interact with
C0140594,DrugInteraction,C0032952,may interact with
C0140594,Safety_ContraindicationAvoid,C0301925,is contraindicated in
C0140594,Safety_ContraindicationAvoid,C0033011,is contraindicated in
C0140594,Safety_ContraindicationAvoid,C0008059,is contraindicated in
C0055895,Etiology_AssociatedWith,C0456588,was first described in
C0055895,Etiology_AssociatedWith,C3653671,has demonstrated
C0055895,Treatment_IndicationUse,C3875321,is used to treat
C0055895,MoA_ModulationOther,C0021368,promotes
C0055895,Taxonomy_PartOf,C4521954,is part of
C0055895,Taxonomy_PartOf,C0443077,is part of
C0055895,Etiology_AssociatedWith,C0961890,has a topological polar surface area of
C0016299,Taxonomy_IsA,C0017712,is a
C0016299,Treatment_IndicationUse,C0439706,is used in the treatment of
C0016299,MoA_BindingAffinity,C1841967,binds to
C0016299,MoA_ActivationInduction,C1705331,stimulates
C1705331,MoA_BindingAffinity,C2326883,binds to
C0016299,MoA_AgonistAntagonist,C0885447,acts as a physiological antagonist to
C0016299,MoA_ModulationOther,C1512226,decreases
C0016299,MoA_ModulationOther,C4552270,promotes
C0016299,MoA_ModulationOther,C0427743,increases
C0016299,Taxonomy_PartOf,C4521954,is part of
C0016299,Taxonomy_PartOf,C0282555,is part of
C0016299,Taxonomy_PartOf,C1373012,is part of
C0016299,Taxonomy_PartOf,C0443077,is part of
C0016299,Taxonomy_PartOf,C3653505,is part of
C0016299,Taxonomy_PartOf,C0304608,is part of
C0016299,Etiology_AssociatedWith,C0289863,has a
C0016299,Etiology_AssociatedWith,C1706842,is
C0016299,Etiology_AssociatedWith,C4688482,is
C2077029,Taxonomy_IsA,C0744425,is a
C2077029,Treatment_IndicationUse,C1272273,is used to treat
C2077029,Treatment_IndicationUse,C0865800,is used to treat
C2077029,Treatment_IndicationUse,C0156147,is used to treat
C2077029,Treatment_IndicationUse,C2919828,is used to treat
C2077029,Treatment_IndicationUse,C0941061,is indicated for
C2077029,Treatment_IndicationUse,C0558984,is indicated for
C2077029,Treatment_IndicationUse,C0740304,is indicated for
C2077029,Etiology_AssociatedWith,C3544310,is generally bound to
C2077029,Etiology_AssociatedWith,C0857540,is generally bound to
C2077029,Taxonomy_PartOf,C4521954,is part of
C2077029,Taxonomy_PartOf,C0740851,is part of
C2077029,Taxonomy_PartOf,C3653826,is part of
C2077029,Taxonomy_PartOf,C0282556,is part of
C2077029,Taxonomy_PartOf,C0474035,is part of
C2077029,Taxonomy_PartOf,C3653531,is part of
C2077029,Taxonomy_PartOf,C0161598,is part of
C2077029,Taxonomy_PartOf,C0591201,is part of
C2077029,Taxonomy_PartOf,C1412070,is part of
C2077029,Taxonomy_IsA,C0597486,is a
C2077029,PK_DistributionProteinBinding,C0108187,is bound in plasma by
C0070073,Taxonomy_IsA,C0744425,is a type of
C0070073,Etiology_AssociatedWith,C0443077,has properties of
C0070073,Treatment_IndicationUse,C0149783,is used in the treatment of
C0070073,Etiology_AssociatedWith,C0020268,is less suitable than
C0070073,DrugInteraction,C0570192,is combined with
C0070073,Etiology_AssociatedWith,C0425683,limits
C0070073,Etiology_AssociatedWith,C0027950,restricts accumulation of
C0070073,Etiology_AssociatedWith,C1267793,restricts accumulation of
C0070073,MoA_ModulationOther,C0022714,reduces release of
C0070073,MoA_InhibitionBlockade,C0302158,inhibits
C0070073,MoA_ModulationOther,C0243042,interferes with
C0070073,MoA_InhibitionBlockade,C0003314,suppresses
C0070073,Etiology_AssociatedWith,C1152581,involves
C0070073,Etiology_AssociatedWith,C0103404,involves
C1135650,Etiology_AssociatedWith,C1332838,cause
C0070073,MoA_InhibitionBlockade,C0879590,suppresses expression of
C0879590,Alias_Name,C0879590,is also known as
C0070073,DrugClass_Category,C4521954,belongs to the category of
C0070073,DrugClass_Category,C3653708,belongs to the category of
C0070073,Regulatory_Status,C0678323,has an approval status of
C0907850,Taxonomy_IsA,C0744425,is a
C0907850,Treatment_IndicationUse,C0024117,is used to treat
C0907850,Treatment_IndicationUse,C0339812,treats
C0907850,MoA_InhibitionBlockade,C0302158,inhibits
C0907850,MoA_ModulationOther,C0243042,interferes with
C0907850,MoA_InhibitionBlockade,C0003314,suppresses
C0907850,Etiology_AssociatedWith,C0425683,limits
C0907850,Etiology_AssociatedWith,C0027950,restricts
C0907850,Taxonomy_IsA,C1373003,is a
C0907850,MoA_BindingAffinity,C0600508,binds to
C0907850,DrugInteraction,C1135650,interacts with
C0907850,Taxonomy_MemberOf,C4521954,belongs to
C0907850,Taxonomy_MemberOf,C0443077,belongs to
C0907850,Taxonomy_MemberOf,C0282555,belongs to
C0907850,Taxonomy_MemberOf,C3653498,belongs to
C0907850,Taxonomy_IsA,C0057223,is a substrate for
C0907850,Taxonomy_IsA,C0051169,is a substrate for
C5555516,Etiology_AssociatedWith,C2986495,is
C5555516,Etiology_AssociatedWith,C0205195,discovered using
C5555516,Taxonomy_PartOf,C0722742,consists of
C5555516,Taxonomy_PartOf,C0202319,consists of
C5555516,Etiology_AssociatedWith,C4751299,is being investigated for
C5555516,Etiology_AssociatedWith,C2960678,is effective for
C5555516,Etiology_AssociatedWith,C0002893,is effective for
C0722742,Taxonomy_IsA,C0260264,is a
C0722742,MoA_InhibitionBlockade,C0302158,can inhibit
C0202319,MoA_ModulationOther,C0599702,acts by decreasing
C5555516,Etiology_AssociatedWith,C0032950,enhances
C5555516,Etiology_AssociatedWith,C0418624,is
C5555516,Etiology_AssociatedWith,C4684592,is in
C5555516,Etiology_AssociatedWith,C0032950,aims to selectively amplify
C5555516,Etiology_AssociatedWith,C0032950,aims to selectively amplify
C5555516,Etiology_AssociatedWith,C0683934,requires
C0066700,Treatment_IndicationUse,C3251055,is used for
C0066700,Treatment_IndicationUse,C0339812,is used for
C0066700,Etiology_AssociatedWith,C3537153,works through
C0066700,MoA_BindingAffinity,C1841967,binds to
C0066700,MoA_InhibitionBlockade,C0167954,inhibits activation of
C0066700,MoA_InhibitionBlockade,C0014458,inhibits
C0066700,PK_DistributionProteinBinding,C0229671,is  99  protein bound in
C0066700,PK_DistributionProteinBinding,C1442770,has a half life of
C0066700,Taxonomy_IsA,C0051169,is an inhibitor of
C0066700,Regulatory_Status,C0521923,was first approved in
C0066700,MoA_ModulationOther,C0021368,decreases production of
C0066700,Etiology_AssociatedWith,C0021461,is available as
C0066700,Etiology_AssociatedWith,C1273001,is available as
C0066700,DrugInteraction,C0059563,interacts with
C0066700,Treatment_IndicationUse,C0004096,is a treatment option for
C0066700,Treatment_IndicationUse,C1334103,is a treatment option for
C0025145,Alias_Name,C0013340,is also known as
C0025145,Taxonomy_IsA,C0033306,is a
C0025145,Taxonomy_DerivedFrom,C0065865,is derived from
C0025145,Regulatory_Status,C0006823,was approved in
C0025145,Etiology_AssociatedWith,C0205544,is currently
C0025145,MoA_InhibitionBlockade,C0301819,suppresses
C0025145,Etiology_AssociatedWith,C5784295,leads to
C0025145,Clinical_ManifestationPresentation,C0523912,presents structural similarities to
C0025145,Etiology_AssociatedWith,C1367578,competes for
C1367578,Etiology_AssociatedWith,C0033572,are in
C1154522,Etiology_AssociatedWith,C5849707,occurs in
C0025145,Etiology_AssociatedWith,C0304497,leads to
C0025145,Etiology_AssociatedWith,C0033618,has pharmacokinetics dependent on
C0025145,Etiology_AssociatedWith,C0893455,was proven to have
C0025145,Temporal_DurationResolution,C0202075,has a similar duration effect to
C0025145,Clinical_ManifestationPresentation,C0235461,does not present any
C0025145,Clinical_ManifestationPresentation,C0720298,does not present any
C0025145,Etiology_AssociatedWith,C5548523,does not change
C0025145,Etiology_AssociatedWith,C5670749,has a logp value of
C0025145,Taxonomy_MemberOf,C4521954,belongs to the categories of
C0025145,Taxonomy_MemberOf,C0006174,belongs to the categories of
C0025145,Taxonomy_MemberOf,C1508753,belongs to the categories of
C0025145,Taxonomy_MemberOf,C5400708,belongs to the categories of
C0025145,Taxonomy_MemberOf,C3653386,belongs to the categories of
C0025145,Taxonomy_MemberOf,C3653386,belongs to the categories of
C0025145,Taxonomy_MemberOf,C4708554,belongs to the categories of
C0025145,Taxonomy_MemberOf,C0893455,belongs to the categories of
C0025145,Taxonomy_MemberOf,C0546792,belongs to the categories of
C0082607,Treatment_IndicationUse,C3251055,is used for
C0082607,Treatment_IndicationUse,C1171179,is used for
C0082607,Etiology_AssociatedWith,C0007634,affects
C0082607,MoA_InhibitionBlockade,C0014458,inhibits
C0082607,PK_DistributionProteinBinding,C0001560,has a half life of
C0082607,PK_DistributionProteinBinding,C1442770,has a half life of
C0082607,Taxonomy_MemberOf,C4521954,belongs to
C0082607,Taxonomy_MemberOf,C0282555,belongs to
C0082607,Taxonomy_MemberOf,C0282556,belongs to
C0082607,Taxonomy_MemberOf,C0161598,belongs to
C0082607,Taxonomy_MemberOf,C0591201,belongs to
C0082607,Taxonomy_MemberOf,C1373012,belongs to
C0082607,Taxonomy_MemberOf,C0443077,belongs to
C0082607,Taxonomy_MemberOf,C0205489,belongs to
C0082607,Regulatory_Status,C0456592,was first approved in
C0082607,Regulatory_Status,C0521923,was approved again in
C0076181,Taxonomy_IsA,C0744425,is a
C0076181,Treatment_IndicationUse,C1334156,is used to treat
C0076181,Treatment_IndicationUse,C0271739,treats
C0076181,Treatment_IndicationUse,C0156147,treats
C0076181,Treatment_IndicationUse,C0003873,treats
C0076181,Treatment_IndicationUse,C0024131,treats
C0076181,Treatment_IndicationUse,C0581126,treats
C0076181,Treatment_IndicationUse,C2919828,treats
C0076181,Treatment_IndicationUse,C0001617,treats
C0076181,MoA_BindingAffinity,C1841967,binds to
C0076181,Taxonomy_IsA,C0020343,is classified as
C0076181,Taxonomy_IsA,C0443077,is classified as
C0076181,Etiology_AssociatedWith,C0470251,has a topological polar surface area of
C0076181,Regulatory_Status,C0199168,is approved for
C0076181,Etiology_AssociatedWith,C1512026,is used in
C0063079,Taxonomy_IsA,C4050091,is a
C0063079,Treatment_IndicationUse,C0033774,used to treat
C0063079,Treatment_IndicationUse,C0271739,used to treat
C0063079,Treatment_IndicationUse,C0003873,used to treat
C0063079,Treatment_IndicationUse,C0024131,used to treat
C0063079,Treatment_IndicationUse,C0581126,used to treat
C0063079,Treatment_IndicationUse,C2919828,used to treat
C0063079,Treatment_IndicationUse,C0156147,used to treat
C0063079,MoA_BindingAffinity,C1841967,binds to
C1841967,Etiology_AssociatedWith,C0521447,translocates to
C0521447,MoA_BindingAffinity,C5236345,binds to
C0063079,MoA_ActivationInduction,C1521840,induces expression of
C0063079,MoA_InhibitionBlockade,C0749224,suppresses
C0063079,Etiology_AssociatedWith,C0470251,has a tpsa of
C0063079,Taxonomy_PartOf,C4521954,is part of
C0063079,Taxonomy_PartOf,C0443077,is part of
C0063079,Taxonomy_IsA,C0051169,is an inducer of
C0063079,Regulatory_Status,C0020157,approved for use in
C0063079,Regulatory_Status,C5787033,approved for use in
C0071842,Taxonomy_IsA,C0744425,is a type of
C0071842,Etiology_AssociatedWith,C0003392,has effects including
C0071842,Treatment_IndicationUse,C0700624,is used in the treatment of
C0071842,Treatment_IndicationUse,C1709160,is used in the treatment of
C0071842,Treatment_IndicationUse,C0027765,is used in the treatment of
C0071842,Treatment_IndicationUse,C0035242,is used in the treatment of
C0071842,Taxonomy_PartOf,C4521954,is part of
